patent_number,date,title
US300000A,1884-06-10,mouck 
US300001A,1884-06-10,Boot or shoe 
US300002A,1884-06-10,Oes to said nobton and olivee w 
US300003A,1884-06-10,Steam-trap 
US300004A,1884-06-10,Car-coupling 
US300005A,1884-06-10,William r 
US300006A,1884-06-10,Edwaed k poetee 
US300007A,1884-06-10,Agitator for generators and receivers for soda or other aerated waters 
US300008A,1884-06-10,Carbonic-acid-gas generator 
US300009A,1884-06-10,Mechanism for grain binders 
US300010A,1884-06-10,Vegetable fiber from woolen fabrics 
US300011A,1884-06-10,Lifting-jack 
US300012A,1884-06-10,Half to hoeatio c 
US300013A,1884-06-10,Half to hobatio c 
US300014A,1884-06-10,Half to hobatio c 
US300015A,1884-06-10,bodgees 
US300016A,1884-06-10,James henry etjssell 
US300017A,1884-06-10,Hans h 
US300018A,1884-06-10,Gasometer for washing carbonic-acid gas 
US300019A,1884-06-10,Agitator device for carbonizing liquids 
US300020A,1884-06-10,Vehicle-spring 
US300021A,1884-06-10,Joseph shaffer of dayton 
US300022A,1884-06-10,Heel-stiffener 
US300023A,1884-06-10,Op john smalley 
US300024A,1884-06-10,Of john smalley 
US300025A,1884-06-10,New jeesey 
US300026A,1884-06-10,Belt-fastener 
US300027A,1884-06-10,stamm 
US300028A,1884-06-10,Clinton stephens 
US300029A,1884-06-10,John stephenson 
US300030A,1884-06-10,Car-coupling 
US300031A,1884-06-10,Shear-cutting nippers 
US300032A,1884-06-10,Chuck for watch-makers  lathes 
US300033A,1884-06-10,Stave-jointlng machine 
US300034A,1884-06-10,yander weyde 
US300035A,1884-06-10,Process of and apparatus for electro-depositing copper 
US300036A,1884-06-10,Valve-gear 
US300037A,1884-06-10,Coating pills 
US300038A,1884-06-10,Index-gage for drilling-machines 
US300039A,1884-06-10,Boot and shoe sole shaping machine 
US300040A,1884-06-10,Ealph beownscw 
US300041A,1884-06-10,Machine for threading sc rew-taps 
US300042A,1884-06-10,William l 
US300043A,1884-06-10,William l 
US300044A,1884-06-10,Peters 
US300045A,1884-06-10,caens 
US300046A,1884-06-10,Wheel 
US300047A,1884-06-10,cheswrig-ht 
US300048A,1884-06-10,Grinding-wheel for bark-mills 
US300049A,1884-06-10,coons 
US300050A,1884-06-10,Machines 
US300051A,1884-06-10,Albeet davis 
US300052A,1884-06-10,Secondary battery 
US300053A,1884-06-10,Earth-boring auger 
US300054A,1884-06-10,William h 
US300055A,1884-06-10,doane 
US300056A,1884-06-10,Octave dupas 
US300057A,1884-06-10,Eobeet e 
US300058A,1884-06-10,Cable railway 
US300059A,1884-06-10,Grate 
US300060A,1884-06-10,Isaac v 
US300061A,1884-06-10,Oyster-refrigerator 
US300062A,1884-06-10,Chables geebtz 
US300063A,1884-06-10,Chaeles geebtz 
US300064A,1884-06-10,Hainee 
US300065A,1884-06-10,John gibbons 
US300066A,1884-06-10,Railway-spike 
US300067A,1884-06-10,Christophbe gbattajst 
US300068A,1884-06-10,gravier 
US300069A,1884-06-10,Heney grunhagen 
US300070A,1884-06-10,Theodobb m 
US300071A,1884-06-10,John hawlowetz 
US300072A,1884-06-10,Haeeis h 
US300073A,1884-06-10,Edwin albeet hayes 
US300074A,1884-06-10,Neck-yoke center 
US300075A,1884-06-10,Amanda m 
US300076A,1884-06-10,Mining-machine 
US300077A,1884-06-10,Headed slug-nail 
US300078A,1884-06-10,Geoege william idkeb 
US300079A,1884-06-10,Chimney-cowl 
US300080A,1884-06-10,Island 
US300081A,1884-06-10,janusch 
US300082A,1884-06-10,Jens jensen 
US300083A,1884-06-10,jensen 
US300084A,1884-06-10,Hand and foot power 
US300085A,1884-06-10,hubeet l 
US300086A,1884-06-10,Wagon end-gate 
US300087A,1884-06-10,Harvester chain rake 
US300088A,1884-06-10,Dust-proof cap for watches 
US300089A,1884-06-10,Vehicle-top 
US300090A,1884-06-10,Fire-escape 
US300091A,1884-06-10,Fire-escape 
US300092A,1884-06-10,Injector 
US300093A,1884-06-10,Alpheus g 
US300094A,1884-06-10,Machine 
US300095A,1884-06-10,Electric lamp 
US300096A,1884-06-10,Brick-machine 
US300097A,1884-06-10,Lister 
US300098A,1884-06-10,mccarty 
