patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US322A,1837-07-31 00:00:00,The tikes of wheels and otheb articles ,"['The', 'tikes', 'of', 'wheels', 'and', 'otheb', 'articles']","[('The', 'DT'), ('tikes', 'NNS'), ('of', 'IN'), ('wheels', 'NNS'), ('and', 'CC'), ('otheb', 'NN'), ('articles', 'NNS')]",0,"['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN']",[],0,0,7,0,1
US502A,1837-12-07 00:00:00,Through trees ,"['Through', 'trees']","[('Through', 'IN'), ('trees', 'NNS')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US669A,1838-04-02 00:00:00,In the manufacture of gunpowder ,"['In', 'the', 'manufacture', 'of', 'gunpowder']","[('In', 'IN'), ('the', 'DT'), ('manufacture', 'NN'), ('of', 'IN'), ('gunpowder', 'NN')]",0,"['ADP', 'DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,5,0,1
US788A,1838-06-19 00:00:00,And mode oe ,"['And', 'mode', 'oe']","[('And', 'CC'), ('mode', 'NN'), ('oe', 'NN')]",0,"['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US802A,1838-06-23 00:00:00,The horse-power for driving machinery ,"['The', 'horse-power', 'for', 'driving', 'machinery']","[('The', 'DT'), ('horse-power', 'NN'), ('for', 'IN'), ('driving', 'VBG'), ('machinery', 'NN')]",0,"['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'VERB', 'NOUN']",[],0,0,7,0,1
US857A,1838-07-26 00:00:00,of greene ,"['of', 'greene']","[('of', 'IN'), ('greene', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US1016A,1838-11-25 00:00:00,And major algar ,"['And', 'major', 'algar']","[('And', 'CC'), ('major', 'JJ'), ('algar', 'NN')]",0,"['CCONJ', 'ADJ', 'NOUN']",[],0,0,3,0,1
US1069A,1839-01-16 00:00:00,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US1305A,1839-08-29 00:00:00,For drilling- metallic and other substances ,"['For', 'drilling-', 'metallic', 'and', 'other', 'substances']","[('For', 'IN'), ('drilling-', 'JJ'), ('metallic', 'NN'), ('and', 'CC'), ('other', 'JJ'), ('substances', 'NNS')]",0,"['ADP', 'ADJ', 'ADJ', 'CCONJ', 'ADJ', 'NOUN']",[],0,0,6,0,1
US1459A,1839-12-31 00:00:00,Of pro ,"['Of', 'pro']","[('Of', 'IN'), ('pro', 'JJ')]",0,"['ADP', 'ADJ']",[],0,0,2,0,1
US1617A,1840-05-25 00:00:00,of baltimoee ,"['of', 'baltimoee']","[('of', 'IN'), ('baltimoee', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US1665A,1840-07-01 00:00:00,And wm ,"['And', 'wm']","[('And', 'CC'), ('wm', 'NN')]",0,"['CCONJ', 'VERB']",[],0,0,2,0,1
US1666A,1840-07-01 00:00:00,For railroad and other carriages ,"['For', 'railroad', 'and', 'other', 'carriages']","[('For', 'IN'), ('railroad', 'NN'), ('and', 'CC'), ('other', 'JJ'), ('carriages', 'NNS')]",0,"['ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN']",[],0,0,5,0,1
US1756A,1840-09-02 00:00:00,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
