patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US164A,1837-04-17 00:00:00,Machine fob cramping leather for ,"['Machine', 'fob', 'cramping', 'leather', 'for']","[('Machine', 'NN'), ('fob', 'NN'), ('cramping', 'VBG'), ('leather', 'NN'), ('for', 'IN')]",0,"['NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP']",[],0,0,5,1
US172A,1837-04-20 00:00:00,Improvement in the mode of ,"['Improvement', 'in', 'the', 'mode', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('mode', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,5,1
US204A,1837-05-22 00:00:00,Construction of and mode of ,"['Construction', 'of', 'and', 'mode', 'of']","[('Construction', 'NN'), ('of', 'IN'), ('and', 'CC'), ('mode', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'CCONJ', 'NOUN', 'ADP']",[],0,0,5,1
US301A,1837-07-29 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US328A,1837-07-31 00:00:00,Improved mode of attaching knives or ,"['Improved', 'mode', 'of', 'attaching', 'knives', 'or']","[('Improved', 'VBN'), ('mode', 'NN'), ('of', 'IN'), ('attaching', 'VBG'), ('knives', 'NNS'), ('or', 'CC')]",0,"['VERB', 'NOUN', 'ADP', 'VERB', 'NOUN', 'CCONJ']",[],0,0,6,1
US332A,1837-07-31 00:00:00,Improvement in the mode of smelting iron ores by the employment of a composition of ,"['Improvement', 'in', 'the', 'mode', 'of', 'smelting', 'iron', 'ores', 'by', 'the', 'employment', 'of', 'a', 'composition', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('mode', 'NN'), ('of', 'IN'), ('smelting', 'VBG'), ('iron', 'NN'), ('ores', 'NNS'), ('by', 'IN'), ('the', 'DT'), ('employment', 'NN'), ('of', 'IN'), ('a', 'DT'), ('composition', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,15,1
US352A,1837-08-15 00:00:00,Mode of preventing thread from going to waste in machinery for ,"['Mode', 'of', 'preventing', 'thread', 'from', 'going', 'to', 'waste', 'in', 'machinery', 'for']","[('Mode', 'NNP'), ('of', 'IN'), ('preventing', 'VBG'), ('thread', 'NN'), ('from', 'IN'), ('going', 'VBG'), ('to', 'TO'), ('waste', 'VB'), ('in', 'IN'), ('machinery', 'NN'), ('for', 'IN')]",1,"['NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'VERB', 'PART', 'VERB', 'ADP', 'NOUN', 'ADP']",[],0,0,11,1
US358A,1837-08-16 00:00:00,Ximproved m mode of ,"['Ximproved', 'm', 'mode', 'of']","[('Ximproved', 'VBN'), ('m', 'JJ'), ('mode', 'NN'), ('of', 'IN')]",0,"['VERB', 'VERB', 'NOUN', 'ADP']",[],0,0,4,1
US382A,1837-09-12 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US408A,1837-09-25 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US410A,1837-09-25 00:00:00,Method of setting axletrees and in the machinery used therefor ,"['Method', 'of', 'setting', 'axletrees', 'and', 'in', 'the', 'machinery', 'used', 'therefor']","[('Method', 'NNP'), ('of', 'IN'), ('setting', 'VBG'), ('axletrees', 'NNS'), ('and', 'CC'), ('in', 'IN'), ('the', 'DT'), ('machinery', 'NN'), ('used', 'VBN'), ('therefor', 'NN')]",1,"['NOUN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP']",[],0,0,10,1
US452A,1837-11-04 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US527A,1837-12-20 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US572A,1838-01-20 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US710A,1838-04-25 00:00:00,Ikomestic spinner for ,"['Ikomestic', 'spinner', 'for']","[('Ikomestic', 'JJ'), ('spinner', 'NN'), ('for', 'IN')]",0,"['ADJ', 'NOUN', 'ADP']",[],0,0,3,1
US814A,1838-06-30 00:00:00,Art of increasing the strength of wrought iron and steel and of ,"['Art', 'of', 'increasing', 'the', 'strength', 'of', 'wrought', 'iron', 'and', 'steel', 'and', 'of']","[('Art', 'NN'), ('of', 'IN'), ('increasing', 'VBG'), ('the', 'DT'), ('strength', 'NN'), ('of', 'IN'), ('wrought', 'NN'), ('iron', 'NN'), ('and', 'CC'), ('steel', 'NN'), ('and', 'CC'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'ADP']",[],0,0,12,1
US844A,1838-07-17 00:00:00,Boiler for ,"['Boiler', 'for']","[('Boiler', 'NNP'), ('for', 'IN')]",1,"['NOUN', 'ADP']",[],0,0,2,1
US952A,1838-09-27 00:00:00,I antoni bengini ,"['I', 'antoni', 'bengini']","[('I', 'PRP'), ('antoni', 'VBP'), ('bengini', 'NN')]",0,"['PRON', 'VERB', 'ADP']",[],0,0,3,1
US971A,1838-10-08 00:00:00,Mode of pbeventing dust from rising from threshing-machines when in ,"['Mode', 'of', 'pbeventing', 'dust', 'from', 'rising', 'from', 'threshing-machines', 'when', 'in']","[('Mode', 'NNP'), ('of', 'IN'), ('pbeventing', 'VBG'), ('dust', 'NN'), ('from', 'IN'), ('rising', 'VBG'), ('from', 'IN'), ('threshing-machines', 'NNS'), ('when', 'WRB'), ('in', 'IN')]",1,"['NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'SCONJ', 'ADP']",[],0,0,12,1
US996A,1838-11-03 00:00:00,Machine for rubbing and separating garlic and other substances from ,"['Machine', 'for', 'rubbing', 'and', 'separating', 'garlic', 'and', 'other', 'substances', 'from']","[('Machine', 'NN'), ('for', 'IN'), ('rubbing', 'VBG'), ('and', 'CC'), ('separating', 'VBG'), ('garlic', 'JJ'), ('and', 'CC'), ('other', 'JJ'), ('substances', 'NNS'), ('from', 'IN')]",0,"['NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP']",[],0,0,10,1
US1070A,1839-01-18 00:00:00,Improvement in the mode of ,"['Improvement', 'in', 'the', 'mode', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('mode', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,5,1
US1103A,1839-03-15 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US1118A,1839-04-10 00:00:00,Mode of preventing accidents from the explosions oe stbaiff-boiless by ,"['Mode', 'of', 'preventing', 'accidents', 'from', 'the', 'explosions', 'oe', 'stbaiff-boiless', 'by']","[('Mode', 'NNP'), ('of', 'IN'), ('preventing', 'VBG'), ('accidents', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('explosions', 'NNS'), ('oe', 'IN'), ('stbaiff-boiless', 'NN'), ('by', 'IN')]",1,"['NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'X', 'NOUN', 'PUNCT', 'NOUN', 'ADP']",[],0,0,12,1
US1122A,1839-04-15 00:00:00,Steam-boilers and apparatus to be used on board of steamboats to ,"['Steam-boilers', 'and', 'apparatus', 'to', 'be', 'used', 'on', 'board', 'of', 'steamboats', 'to']","[('Steam-boilers', 'NNS'), ('and', 'CC'), ('apparatus', 'NN'), ('to', 'TO'), ('be', 'VB'), ('used', 'VBN'), ('on', 'IN'), ('board', 'NN'), ('of', 'IN'), ('steamboats', 'NNS'), ('to', 'TO')]",0,"['NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PART', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,13,1
US1144A,1839-05-18 00:00:00,Combustion by ,"['Combustion', 'by']","[('Combustion', 'NN'), ('by', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US1170A,1839-06-07 00:00:00,Mode of preventing friction and adhesion in the steps ob gudgeons of ,"['Mode', 'of', 'preventing', 'friction', 'and', 'adhesion', 'in', 'the', 'steps', 'ob', 'gudgeons', 'of']","[('Mode', 'NNP'), ('of', 'IN'), ('preventing', 'VBG'), ('friction', 'NN'), ('and', 'CC'), ('adhesion', 'NN'), ('in', 'IN'), ('the', 'DT'), ('steps', 'NNS'), ('ob', 'VBP'), ('gudgeons', 'NNS'), ('of', 'IN')]",1,"['NOUN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,12,1
US1225A,1839-07-09 00:00:00,Machine for ,"['Machine', 'for']","[('Machine', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US1254A,1839-07-22 00:00:00,Improvement in the mode of ,"['Improvement', 'in', 'the', 'mode', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('mode', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,5,1
US1386A,1839-10-31 00:00:00,Drag for removing stones aktd other obstructions from the bottoms of ,"['Drag', 'for', 'removing', 'stones', 'aktd', 'other', 'obstructions', 'from', 'the', 'bottoms', 'of']","[('Drag', 'NNP'), ('for', 'IN'), ('removing', 'VBG'), ('stones', 'NNS'), ('aktd', 'IN'), ('other', 'JJ'), ('obstructions', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('bottoms', 'NNS'), ('of', 'IN')]",1,"['VERB', 'ADP', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,11,1
