patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US5A,1836-08-10 00:00:00,Thomas blancharjq ,"['Thomas', 'blancharjq']","[('Thomas', 'NNP'), ('blancharjq', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US15A,1836-08-31 00:00:00,Cotton-planter ,['Cotton-planter'],"[('Cotton-planter', 'NN')]",0,"['NOUN', 'PUNCT', 'NOUN']",['PERSON'],0,1,3
US16A,1836-08-31 00:00:00,Edwin m ,"['Edwin', 'm']","[('Edwin', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US41A,1836-10-08 00:00:00,Frederick j ,"['Frederick', 'j']","[('Frederick', 'NNP'), ('j', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US43A,1836-10-11 00:00:00,Ends alvord and nelson alvord ,"['Ends', 'alvord', 'and', 'nelson', 'alvord']","[('Ends', 'NNS'), ('alvord', 'NN'), ('and', 'CC'), ('nelson', 'NN'), ('alvord', 'NN')]",0,"['NOUN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,5
US63A,1836-10-20 00:00:00,Kravxiig ,['Kravxiig'],"[('Kravxiig', 'NNP')]",1,['VERB'],['PERSON'],0,1,1
US64A,1836-10-20 00:00:00,John blaokmab ,"['John', 'blaokmab']","[('John', 'NNP'), ('blaokmab', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US67A,1836-10-24 00:00:00,robert mayo and robert mills ,"['robert', 'mayo', 'and', 'robert', 'mills']","[('robert', 'NN'), ('mayo', 'NN'), ('and', 'CC'), ('robert', 'NN'), ('mills', 'NNS')]",0,"['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']","['PERSON', 'PERSON']",1,1,5
US74A,1836-11-08 00:00:00,James williamson ,"['James', 'williamson']","[('James', 'NNP'), ('williamson', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US77A,1836-11-10 00:00:00,James hamilton ,"['James', 'hamilton']","[('James', 'NNP'), ('hamilton', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US78A,1836-11-14 00:00:00,Amasa sizer andx g george sizer ,"['Amasa', 'sizer', 'andx', 'g', 'george', 'sizer']","[('Amasa', 'NNP'), ('sizer', 'NN'), ('andx', 'NN'), ('g', 'NN'), ('george', 'NN'), ('sizer', 'NN')]",1,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,6
US84A,1836-11-23 00:00:00,Edward d ,"['Edward', 'd']","[('Edward', 'NNP'), ('d', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US105A,1836-12-15 00:00:00,knight ,['knight'],"[('knight', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US114A,1837-01-31 00:00:00,Benjamin h ,"['Benjamin', 'h']","[('Benjamin', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
