patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US3A,1836-08-11 00:00:00,Thomas blanchard ,"['Thomas', 'blanchard']","[('Thomas', 'NNP'), ('blanchard', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US6A,1836-08-10 00:00:00,Thomas blanghard ,"['Thomas', 'blanghard']","[('Thomas', 'NNP'), ('blanghard', 'NN')]",1,"['PROPN', 'PROPN']",[],1,0,2
US7A,1836-08-10 00:00:00,Thomas blanchard ,"['Thomas', 'blanchard']","[('Thomas', 'NNP'), ('blanchard', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US9A,1836-08-10 00:00:00,Thomas blanchard ,"['Thomas', 'blanchard']","[('Thomas', 'NNP'), ('blanchard', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US10A,1836-08-10 00:00:00,Gtttlslto andi ,"['Gtttlslto', 'andi']","[('Gtttlslto', 'NNP'), ('andi', 'NN')]",1,"['PROPN', 'VERB']",[],1,0,2
US11A,1836-08-10 00:00:00,,['nan'],"[('nan', 'NN')]",0,['PROPN'],[],1,0,1
US12A,1839-09-14 00:00:00,Improvement in trusses for the cure of prolapsus uteri ,"['Improvement', 'in', 'trusses', 'for', 'the', 'cure', 'of', 'prolapsus', 'uteri']","[('Improvement', 'NN'), ('in', 'IN'), ('trusses', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('cure', 'NN'), ('of', 'IN'), ('prolapsus', 'NN'), ('uteri', 'NN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN']",[],1,0,9
US17A,1836-08-31 00:00:00,Thomas blanchaiid ,"['Thomas', 'blanchaiid']","[('Thomas', 'NNP'), ('blanchaiid', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US18A,1836-08-31 00:00:00,Thomas blanchard ,"['Thomas', 'blanchard']","[('Thomas', 'NNP'), ('blanchard', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US19A,1836-08-31 00:00:00,Thomas blanchard ,"['Thomas', 'blanchard']","[('Thomas', 'NNP'), ('blanchard', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US24A,1836-09-14 00:00:00,Mortisistg-maghiite ,['Mortisistg-maghiite'],"[('Mortisistg-maghiite', 'JJ')]",0,"['PROPN', 'PUNCT', 'NOUN']",['NORP'],1,0,3
