patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US4A,1836-08-10 00:00:00,Stock ,['Stock'],"[('Stock', 'NN')]",0,['NOUN'],[],0,0,1,0
US14A,1836-08-31 00:00:00,petess ,['petess'],"[('petess', 'NN')]",0,['NOUN'],[],0,0,1,0
US22A,1836-09-05 00:00:00,Spbcificatioh ,['Spbcificatioh'],"[('Spbcificatioh', 'NN')]",0,['NOUN'],[],0,0,1,0
US28A,1836-09-20 00:00:00,Drawing ,['Drawing'],"[('Drawing', 'VBG')]",0,['VERB'],[],0,0,1,0
US44A,1836-10-11 00:00:00,Itraviitg ,['Itraviitg'],"[('Itraviitg', 'NN')]",0,['VERB'],[],0,0,1,0
US52A,1836-10-11 00:00:00,Drawing ,['Drawing'],"[('Drawing', 'VBG')]",0,['VERB'],[],0,0,1,0
US55A,1915-08-03 00:00:00,Drawing ,['Drawing'],"[('Drawing', 'VBG')]",0,['VERB'],[],0,0,1,0
US59A,1836-10-19 00:00:00,Drawijtg ,['Drawijtg'],"[('Drawijtg', 'NN')]",0,['NOUN'],[],0,0,1,0
US71A,1836-10-27 00:00:00,Parlob ,['Parlob'],"[('Parlob', 'NN')]",0,['NOUN'],[],0,0,1,0
US72A,1836-10-29 00:00:00,Scythe ,['Scythe'],"[('Scythe', 'NN')]",0,['NOUN'],[],0,0,1,0
US79A,1836-11-14 00:00:00,Machine ,['Machine'],"[('Machine', 'NN')]",0,['NOUN'],[],0,0,1,0
US80A,1836-11-15 00:00:00,Worth ,['Worth'],"[('Worth', 'JJ')]",0,['ADJ'],[],0,0,1,0
US81A,1836-11-15 00:00:00,Erawijjg ,['Erawijjg'],"[('Erawijjg', 'NN')]",0,['NOUN'],['GPE'],0,0,1,0
US102A,1861-08-13 00:00:00,Whole ,['Whole'],"[('Whole', 'JJ')]",0,['ADJ'],[],0,0,1,0
US103A,1836-12-10 00:00:00,Process ,['Process'],"[('Process', 'NN')]",0,['NOUN'],[],0,0,1,0
US106A,1915-08-24 00:00:00,Specipication ,['Specipication'],"[('Specipication', 'NN')]",0,['NOUN'],[],0,0,1,0
US107A,1836-01-01 00:00:00,Withdrawn ,['Withdrawn'],"[('Withdrawn', 'NN')]",0,['VERB'],[],0,0,1,0
US108A,1836-12-15 00:00:00,Braving ,['Braving'],"[('Braving', 'VBG')]",0,['VERB'],[],0,0,1,0
US109A,1836-12-15 00:00:00,Erawijtg ,['Erawijtg'],"[('Erawijtg', 'NN')]",0,['NOUN'],[],0,0,1,0
US110A,1837-01-09 00:00:00,Construction ,['Construction'],"[('Construction', 'NN')]",0,['NOUN'],[],0,0,1,0
US123A,1837-02-10 00:00:00,fairbanks ,['fairbanks'],"[('fairbanks', 'NNS')]",0,['VERB'],[],0,0,1,0
US150A,1837-03-25 00:00:00,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US162A,1837-04-17 00:00:00,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US200A,1837-05-22 00:00:00,Geoege ,['Geoege'],"[('Geoege', 'NN')]",0,['VERB'],[],0,0,1,0
US228A,1837-06-10 00:00:00,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US242A,1837-06-22 00:00:00,moseley ,['moseley'],"[('moseley', 'NN')]",0,['NOUN'],[],0,0,1,0
US247A,1837-06-30 00:00:00,office ,['office'],"[('office', 'NN')]",0,['NOUN'],[],0,0,1,0
US262A,1837-07-11 00:00:00,Combined ,['Combined'],"[('Combined', 'VBN')]",0,['VERB'],[],0,0,1,0
US292A,1837-07-22 00:00:00,Anthracite ,['Anthracite'],"[('Anthracite', 'NNP')]",1,['ADJ'],[],0,0,1,0
US308A,1837-07-29 00:00:00,winans ,['winans'],"[('winans', 'NNS')]",0,['NOUN'],['NORP'],0,0,1,0
US325A,1837-07-31 00:00:00,Drawer ,['Drawer'],"[('Drawer', 'NN')]",0,['NOUN'],[],0,0,1,0
US348A,1837-08-08 00:00:00,Commo ,['Commo'],"[('Commo', 'NN')]",0,['NOUN'],[],0,0,1,0
US350A,1837-08-08 00:00:00,Machine ,['Machine'],"[('Machine', 'NN')]",0,['NOUN'],[],0,0,1,0
US354A,1837-08-15 00:00:00,ohilds ,['ohilds'],"[('ohilds', 'NNS')]",0,['VERB'],[],0,0,1,0
US362A,1837-08-18 00:00:00,Tongs ,['Tongs'],"[('Tongs', 'NNS')]",0,['NOUN'],['GPE'],0,0,1,0
US367A,1837-08-31 00:00:00,hotchkiss ,['hotchkiss'],"[('hotchkiss', 'NN')]",0,['VERB'],[],0,0,1,0
US373A,1837-09-08 00:00:00,Ships ,['Ships'],"[('Ships', 'NNS')]",0,['NOUN'],['ORG'],0,0,1,0
US380A,1837-09-08 00:00:00,hopkins ,['hopkins'],"[('hopkins', 'NNS')]",0,['NOUN'],[],0,0,1,0
US411A,1837-09-25 00:00:00,mills ,['mills'],"[('mills', 'NNS')]",0,['NOUN'],[],0,0,1,0
US443A,1837-10-28 00:00:00,Piitess ,['Piitess'],"[('Piitess', 'NN')]",0,['VERB'],[],0,0,1,0
US451A,1837-11-04 00:00:00,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US475A,1837-11-23 00:00:00,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US491A,1837-11-25 00:00:00,Figure ,['Figure'],"[('Figure', 'NN')]",0,['VERB'],[],0,0,1,0
US510A,1837-12-07 00:00:00,soeel ,['soeel'],"[('soeel', 'NN')]",0,['INTJ'],[],0,0,1,0
US519A,1837-12-20 00:00:00,Crrcumfekjsnter ,['Crrcumfekjsnter'],"[('Crrcumfekjsnter', 'NN')]",0,['NOUN'],[],0,0,1,0
US581A,1838-01-20 00:00:00,oberhausser ,['oberhausser'],"[('oberhausser', 'NN')]",0,['NOUN'],[],0,0,1,0
US586A,1838-01-27 00:00:00,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US588A,1838-02-01 00:00:00,Steam ,['Steam'],"[('Steam', 'NN')]",0,['NOUN'],[],0,0,1,0
US592A,1838-02-03 00:00:00,zollickoffee ,['zollickoffee'],"[('zollickoffee', 'NN')]",0,['NOUN'],['ORG'],0,0,1,0
US613A,1838-02-21 00:00:00,pierce ,['pierce'],"[('pierce', 'NN')]",0,['VERB'],[],0,0,1,0
US627A,1838-03-10 00:00:00,Gimlet ,['Gimlet'],"[('Gimlet', 'NN')]",0,['NOUN'],[],0,0,1,0
US648A,1838-03-21 00:00:00,Writing ,['Writing'],"[('Writing', 'VBG')]",0,['VERB'],[],0,0,1,0
US719A,1838-04-28 00:00:00,Churn ,['Churn'],"[('Churn', 'NN')]",0,['VERB'],[],0,0,1,0
US724A,1838-05-04 00:00:00,Petess ,['Petess'],"[('Petess', 'NN')]",0,['NOUN'],[],0,0,1,0
US796A,1838-06-20 00:00:00,office ,['office'],"[('office', 'NN')]",0,['NOUN'],[],0,0,1,0
US812A,1838-06-27 00:00:00,oheslby ,['oheslby'],"[('oheslby', 'NN')]",0,['VERB'],[],0,0,1,0
US881A,1838-08-13 00:00:00,Sawtee ,['Sawtee'],"[('Sawtee', 'NN')]",0,['NOUN'],[],0,0,1,0
