patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US249A,1837-06-30 00:00:00,Opettf itkeplace ob,"['PROPN', 'NOUN', 'ADP']",[],1,0,3,"['opettf', 'itkeplace', 'ob']",1
US264A,1837-07-11 00:00:00,Apparatus ob machinery employed in the manufacture of carbonate of,"['PROPN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']",[],1,0,10,"['apparatus', 'ob', 'machinery', 'employed', 'in', 'the', 'manufacture', 'of', 'carbonate', 'of']",1
US267A,1837-07-11 00:00:00,Mcode of hanging ob suspending a band-wheel in those hobse-powebs in,"['PROPN', 'ADP', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP']","['ORG', 'ORG']",1,0,15,"['mcode', 'of', 'hanging', 'ob', 'suspending', 'a', 'band-wheel', 'in', 'those', 'hobse-powebs', 'in']",1
US352A,1837-08-15 00:00:00,Mode of preventing thread from going to waste in machinery for,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'VERB', 'PART', 'VERB', 'ADP', 'NOUN', 'ADP']",[],1,0,11,"['mode', 'of', 'preventing', 'thread', 'from', 'going', 'to', 'waste', 'in', 'machinery', 'for']",1
US358A,1837-08-16 00:00:00,Ximproved m mode of,"['PROPN', 'PROPN', 'NOUN', 'ADP']",[],1,0,4,"['ximproved', 'm', 'mode', 'of']",1
US410A,1837-09-25 00:00:00,Method of setting axletrees and in the machinery used therefor,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP']",[],1,0,10,"['method', 'of', 'setting', 'axletrees', 'and', 'in', 'the', 'machinery', 'used', 'therefor']",1
US587A,1838-01-27 00:00:00,Machine eor cutting ok,"['NOUN', 'PROPN', 'VERB', 'ADP']",[],1,0,4,"['machine', 'eor', 'cutting', 'ok']",1
US971A,1838-10-08 00:00:00,Mode of pbeventing dust from rising from threshing-machines when in,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'SCONJ', 'ADP']",[],1,0,12,"['mode', 'of', 'pbeventing', 'dust', 'from', 'rising', 'from', 'threshing-machines', 'when', 'in']",1
US1118A,1839-04-10 00:00:00,Mode of preventing accidents from the explosions oe stbaiff-boiless by,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'NOUN', 'PUNCT', 'NOUN', 'ADP']",[],1,0,12,"['mode', 'of', 'preventing', 'accidents', 'from', 'the', 'explosions', 'oe', 'stbaiff-boiless', 'by']",1
US1130A,1839-04-20 00:00:00,Mode of preparing the glasses and constructing ti-ie frames of,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'VERB', 'PUNCT', 'X', 'NOUN', 'ADP']",[],1,0,12,"['mode', 'of', 'preparing', 'the', 'glasses', 'and', 'constructing', 'ti-ie', 'frames', 'of']",1
