patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US3A,1836-08-11 00:00:00,Thomas blanchard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchard']",1
US5A,1836-08-10 00:00:00,Thomas blancharjq,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['thomas', 'blancharjq']",1
US6A,1836-08-10 00:00:00,Thomas blanghard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanghard']",1
US7A,1836-08-10 00:00:00,Thomas blanchard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchard']",1
US9A,1836-08-10 00:00:00,Thomas blanchard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchard']",1
US10A,1836-08-10 00:00:00,Gtttlslto andi,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['gtttlslto', 'andi']",1
US17A,1836-08-31 00:00:00,Thomas blanchaiid,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchaiid']",1
US18A,1836-08-31 00:00:00,Thomas blanchard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchard']",1
US19A,1836-08-31 00:00:00,Thomas blanchard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchard']",1
US64A,1836-10-20 00:00:00,John blaokmab,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'blaokmab']",1
US77A,1836-11-10 00:00:00,James hamilton,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'hamilton']",1
US84A,1836-11-23 00:00:00,Edward d,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['edward', 'd']",1
US116A,1837-02-03 00:00:00,William croasdale,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'croasdale']",1
US134A,1837-03-03 00:00:00,John barker,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'barker']",1
US139A,1837-03-11 00:00:00,Robert wilson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['robert', 'wilson']",1
US153A,1837-03-25 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US158A,1837-03-01 00:00:00,Henry silliman,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['henry', 'silliman']",1
US159A,1837-03-31 00:00:00,John swainson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'swainson']",1
US215A,1837-06-14 00:00:00,James mcoloey,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'mcoloey']",1
US230A,1837-06-14 00:00:00,Thomas blanchard,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'blanchard']",1
US237A,1837-06-15 00:00:00,Egbert beale,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['egbert', 'beale']",1
US244A,1837-06-30 00:00:00,Edward flint,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['edward', 'flint']",1
US255A,1837-07-05 00:00:00,William slickr,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'slickr']",1
US268A,1837-07-11 00:00:00,Articlesx,['NOUN'],['PERSON'],0,1,1,['articlesx'],1
US271A,1837-07-17 00:00:00,George wilbur,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['george', 'wilbur']",1
US304A,1837-07-29 00:00:00,David w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['david', 'w']",1
US308A,1837-07-29 00:00:00,winans,['NOUN'],['PERSON'],0,1,1,['winans'],1
US313A,1837-07-29 00:00:00,Isaac d,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['isaac', 'd']",1
US320A,1837-07-31 00:00:00,John dainty,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'dainty']",1
US342A,1837-08-08 00:00:00,asher miller,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['asher', 'miller']",1
US351A,1837-08-15 00:00:00,James wilson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'wilson']",1
US368A,1837-08-31 00:00:00,John williamson,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'williamson']",1
US401A,1837-09-21 00:00:00,John bouis,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'bouis']",1
US415A,1837-09-28 00:00:00,Allen ward,"['ADJ', 'NOUN']",['PERSON'],0,1,2,"['allen', 'ward']",1
US425A,1837-10-12 00:00:00,James bogardus,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'bogardus']",1
US441A,1837-10-28 00:00:00,Henry stephens,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['henry', 'stephens']",1
US456A,1837-11-04 00:00:00,Henry iwlaterman,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['henry', 'iwlaterman']",1
US462A,1837-11-11 00:00:00,John macintosh,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'macintosh']",1
US465A,1837-11-20 00:00:00,Thomas peck,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'peck']",1
US467A,1837-11-20 00:00:00,james n,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'n']",1
US468A,1837-11-20 00:00:00,Thomas french,"['PROPN', 'NOUN']","['PERSON', 'NORP']",1,1,2,"['thomas', 'french']",1
US485A,1837-11-25 00:00:00,John stevens,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'stevens']",1
US507A,1837-12-07 00:00:00,John crabtree,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'crabtree']",1
US522A,1837-12-20 00:00:00,John thomas,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'thomas']",1
US541A,1837-12-26 00:00:00,Daniel desmond,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['daniel', 'desmond']",1
US557A,1838-01-09 00:00:00,James macgregor,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['james', 'macgregor']",1
US578A,1838-01-20 00:00:00,William h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'h']",1
