patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US4A,1836-08-10 00:00:00,Stock,['PROPN'],[],1,0,1,['stock']
US11A,1836-08-10 00:00:00,nan,['PROPN'],['GPE'],1,0,1,['nan']
US16A,1836-08-31 00:00:00,Edwin m,"['PROPN', 'VERB']",[],1,0,2,"['edwin', 'm']"
US29A,1836-09-22 00:00:00,Isaiah jennings,"['PROPN', 'NOUN']",[],1,0,2,"['isaiah', 'jennings']"
US31A,1836-09-22 00:00:00,Isaiah jennings,"['PROPN', 'NOUN']",[],1,0,2,"['isaiah', 'jennings']"
US41A,1836-10-08 00:00:00,Frederick j,"['PROPN', 'PROPN']",[],1,0,2,"['frederick', 'j']"
US48A,1836-10-11 00:00:00,Turnout fob,"['PROPN', 'VERB']",[],1,0,2,"['turnout', 'fob']"
US57A,1836-10-19 00:00:00,Hemp ant,"['PROPN', 'NOUN']",[],1,0,2,"['hemp', 'ant']"
US58A,1836-10-19 00:00:00,nan,['PROPN'],['GPE'],1,0,1,['nan']
US59A,1836-10-19 00:00:00,Drawijtg,['PROPN'],[],1,0,1,['drawijtg']
US63A,1836-10-20 00:00:00,Kravxiig,['PROPN'],[],1,0,1,['kravxiig']
US72A,1836-10-29 00:00:00,Scythe,['PROPN'],[],1,0,1,['scythe']
US74A,1836-11-08 00:00:00,James williamson,"['PROPN', 'VERB']",[],1,0,2,"['james', 'williamson']"
US103A,1836-12-10 00:00:00,Process,['PROPN'],[],1,0,1,['process']
US111A,1837-01-21 00:00:00,Fastemtetgrs foe,"['PROPN', 'NOUN']",[],1,0,2,"['fastemtetgrs', 'foe']"
US114A,1837-01-31 00:00:00,Benjamin h,"['PROPN', 'NOUN']",[],1,0,2,"['benjamin', 'h']"
US133A,1837-03-03 00:00:00,benjamin bull,"['PROPN', 'PROPN']",[],1,0,2,"['benjamin', 'bull']"
US135A,1837-03-03 00:00:00,Jesse j,"['PROPN', 'PROPN']",[],1,0,2,"['jesse', 'j']"
US138A,1837-03-08 00:00:00,Barnabas s,"['PROPN', 'PART']",[],1,0,2,"['barnabas', 's']"
US167A,1837-04-17 00:00:00,Tjbi emmons,"['PROPN', 'NOUN']",['ORG'],1,0,2,"['tjbi', 'emmons']"
US174A,1837-04-05 00:00:00,Simeon bboadmeadow,"['PROPN', 'NOUN']",[],1,0,2,"['simeon', 'bboadmeadow']"
US175A,1837-04-05 00:00:00,Simeon broadmeadow,"['PROPN', 'NOUN']",[],1,0,2,"['simeon', 'broadmeadow']"
US176A,1837-04-20 00:00:00,Samuel rust,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'rust']"
US202A,1837-05-23 00:00:00,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,['PROPN'],[],1,0,2,['hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh']
US226A,1837-06-03 00:00:00,Samuel goss,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'goss']"
US240A,1837-06-17 00:00:00,Charles goodyear,"['PROPN', 'VERB']",[],1,0,2,"['charles', 'goodyear']"
US246A,1837-06-30 00:00:00,Samuel rust,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'rust']"
US269A,1837-07-17 00:00:00,Asa whitney,"['PROPN', 'NOUN']",[],1,0,2,"['asa', 'whitney']"
US286A,1837-07-19 00:00:00,Mode of,"['PROPN', 'ADP']",[],1,0,2,"['mode', 'of']"
US293A,1837-07-22 00:00:00,Mode of,"['PROPN', 'ADP']",[],1,0,2,"['mode', 'of']"
US299A,1837-10-06 00:00:00,Gideon brown,"['PROPN', 'NOUN']",[],1,0,2,"['gideon', 'brown']"
US323A,1837-07-31 00:00:00,Thomas,['PROPN'],[],1,0,2,['thomas']
US324A,1837-07-31 00:00:00,Jonathan cutlek,"['PROPN', 'NOUN']",[],1,0,2,"['jonathan', 'cutlek']"
US343A,1837-08-08 00:00:00,Mode of,"['PROPN', 'ADP']",[],1,0,2,"['mode', 'of']"
US347A,1837-08-08 00:00:00,dixon,['PROPN'],[],1,0,1,['dixon']
US349A,1837-08-08 00:00:00,Samuel utter,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'utter']"
US353A,1837-08-15 00:00:00,Daniel fitzgerald,"['PROPN', 'NOUN']",[],1,0,2,"['daniel', 'fitzgerald']"
US359A,1837-08-18 00:00:00,Strainer,['PROPN'],[],1,0,1,['strainer']
US361A,1837-08-18 00:00:00,Jonathan keedy,"['PROPN', 'VERB']",[],1,0,2,"['jonathan', 'keedy']"
US371A,1837-08-31 00:00:00,waeneb,['PROPN'],[],1,0,1,['waeneb']
US374A,1837-09-08 00:00:00,Abraham,['PROPN'],[],1,0,1,['abraham']
US383A,1837-09-20 00:00:00,Henby a,"['PROPN', 'PRON']",[],1,0,2,"['henby', 'a']"
US406A,1837-09-25 00:00:00,Samuel rust,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'rust']"
US426A,1837-10-12 00:00:00,Elisha f,"['PROPN', 'PROPN']",[],1,0,2,"['elisha', 'f']"
US431A,1837-10-18 00:00:00,Daniel stephens,"['PROPN', 'VERB']",[],1,0,2,"['daniel', 'stephens']"
US437A,1837-10-23 00:00:00,Dudley l,"['PROPN', 'NOUN']",['ORG'],1,0,2,"['dudley', 'l']"
