patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US14A,1836-08-31 00:00:00,petess ,['NOUN'],[],0,0,1,0
US22A,1836-09-05 00:00:00,Spbcificatioh ,['NOUN'],[],0,0,1,0
US28A,1836-09-20 00:00:00,Drawing ,['VERB'],[],0,0,1,0
US44A,1836-10-11 00:00:00,Itraviitg ,['VERB'],[],0,0,1,0
US52A,1836-10-11 00:00:00,Drawing ,['VERB'],[],0,0,1,0
US55A,1915-08-03 00:00:00,Drawing ,['VERB'],[],0,0,1,0
US71A,1836-10-27 00:00:00,Parlob ,['NOUN'],[],0,0,1,0
US79A,1836-11-14 00:00:00,Machine ,['NOUN'],[],0,0,1,0
US80A,1836-11-15 00:00:00,Worth ,['ADJ'],[],0,0,1,0
US81A,1836-11-15 00:00:00,Erawijjg ,['NOUN'],[],0,0,1,0
US102A,1861-08-13 00:00:00,Whole ,['ADJ'],[],0,0,1,0
US105A,1836-12-15 00:00:00,knight ,['VERB'],[],0,0,1,0
US106A,1915-08-24 00:00:00,Specipication ,['NOUN'],[],0,0,1,0
US107A,1836-01-01 00:00:00,Withdrawn ,['VERB'],[],0,0,1,0
US108A,1836-12-15 00:00:00,Braving ,['VERB'],[],0,0,1,0
US109A,1836-12-15 00:00:00,Erawijtg ,['NOUN'],[],0,0,1,0
US110A,1837-01-09 00:00:00,Construction ,['NOUN'],[],0,0,1,0
US123A,1837-02-10 00:00:00,fairbanks ,['VERB'],[],0,0,1,0
US150A,1837-03-25 00:00:00,Island ,['NOUN'],[],0,0,1,0
US162A,1837-04-17 00:00:00,Island ,['NOUN'],[],0,0,1,0
US193A,1837-05-15 00:00:00,stillman ,['NOUN'],[],0,0,1,0
US200A,1837-05-22 00:00:00,Geoege ,['NOUN'],[],0,0,1,0
US228A,1837-06-10 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US242A,1837-06-22 00:00:00,moseley ,['NOUN'],[],0,0,1,0
US247A,1837-06-30 00:00:00,office ,['NOUN'],[],0,0,1,0
US262A,1837-07-11 00:00:00,Combined ,['VERB'],[],0,0,1,0
US325A,1837-07-31 00:00:00,Drawer ,['NOUN'],[],0,0,1,0
US348A,1837-08-08 00:00:00,Commo ,['NOUN'],[],0,0,1,0
US350A,1837-08-08 00:00:00,Machine ,['NOUN'],[],0,0,1,0
US354A,1837-08-15 00:00:00,ohilds ,['VERB'],[],0,0,1,0
US362A,1837-08-18 00:00:00,Tongs ,['NOUN'],['GPE'],0,0,1,0
US367A,1837-08-31 00:00:00,hotchkiss ,['VERB'],[],0,0,1,0
US373A,1837-09-08 00:00:00,Ships ,['NOUN'],[],0,0,1,0
US380A,1837-09-08 00:00:00,hopkins ,['NOUN'],[],0,0,1,0
US411A,1837-09-25 00:00:00,mills ,['NOUN'],[],0,0,1,0
US443A,1837-10-28 00:00:00,Piitess ,['VERB'],[],0,0,1,0
US451A,1837-11-04 00:00:00,Island ,['NOUN'],[],0,0,1,0
US475A,1837-11-23 00:00:00,Island ,['NOUN'],[],0,0,1,0
US491A,1837-11-25 00:00:00,Figure ,['VERB'],[],0,0,1,0
US510A,1837-12-07 00:00:00,soeel ,['ADJ'],[],0,0,1,0
US580A,1838-01-20 00:00:00,searle ,['VERB'],['ORG'],0,0,1,0
US581A,1838-01-20 00:00:00,oberhausser ,['NOUN'],[],0,0,1,0
US586A,1838-01-27 00:00:00,Island ,['NOUN'],[],0,0,1,0
US588A,1838-02-01 00:00:00,Steam ,['NOUN'],[],0,0,1,0
US592A,1838-02-03 00:00:00,zollickoffee ,['NOUN'],[],0,0,1,0
US613A,1838-02-21 00:00:00,pierce ,['VERB'],[],0,0,1,0
US627A,1838-03-10 00:00:00,Gimlet ,['NOUN'],[],0,0,1,0
US641A,1838-03-17 00:00:00,morison ,['NOUN'],[],0,0,1,0
US648A,1838-03-21 00:00:00,Writing ,['VERB'],[],0,0,1,0
US699A,1838-04-21 00:00:00,stone ,['NOUN'],[],0,0,1,0
US711A,1838-04-25 00:00:00,harpek ,['NOUN'],[],0,0,1,0
US719A,1838-04-28 00:00:00,Churn ,['VERB'],[],0,0,1,0
US724A,1838-05-04 00:00:00,Petess ,['NOUN'],[],0,0,1,0
US796A,1838-06-20 00:00:00,office ,['NOUN'],[],0,0,1,0
US799A,1838-06-21 00:00:00,Islandx ,['NOUN'],['ORG'],0,0,1,0
US812A,1838-06-27 00:00:00,oheslby ,['VERB'],[],0,0,1,0
US816A,1838-06-30 00:00:00,Stove ,['VERB'],[],0,0,1,0
US834A,1838-07-12 00:00:00,fletcher ,['ADV'],[],0,0,1,0
US881A,1838-08-13 00:00:00,Sawtee ,['NOUN'],[],0,0,1,0
US887A,1838-08-18 00:00:00,Stine ,['VERB'],[],0,0,1,0
US888A,1838-08-20 00:00:00,perkins ,['VERB'],[],0,0,1,0
US907A,1838-09-07 00:00:00,steiger ,['ADJ'],[],0,0,1,0
US948A,1838-09-26 00:00:00,Office ,['NOUN'],[],0,0,1,0
US1014A,1838-11-20 00:00:00,Pianoforte ,['NOUN'],[],0,0,1,0
US1023A,1838-11-25 00:00:00,beale ,['VERB'],[],0,0,1,0
US1040A,1838-12-28 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1041A,1838-12-28 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1086A,1839-02-22 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US1090A,1839-02-24 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US1110A,1839-03-25 00:00:00,grimes ,['VERB'],[],0,0,1,0
US1114A,1839-04-10 00:00:00,Bells ,['NOUN'],[],0,0,1,0
US1126A,1839-04-18 00:00:00,Worth ,['ADJ'],[],0,0,1,0
US1159A,1839-05-25 00:00:00,Stove ,['VERB'],[],0,0,1,0
US1174A,1839-06-18 00:00:00,Spegtacles ,['NOUN'],[],0,0,1,0
US1210A,1839-06-29 00:00:00,isbel ,['VERB'],[],0,0,1,0
US1235A,1839-07-12 00:00:00,Flier ,['NOUN'],['GPE'],0,0,1,0
US1255A,1839-07-22 00:00:00,Beehive ,['ADJ'],[],0,0,1,0
US1275A,1839-08-03 00:00:00,Pianoforte ,['NOUN'],[],0,0,1,0
US1278A,1839-08-09 00:00:00,Poetabi ,['NOUN'],[],0,0,1,0
US1285A,1839-08-13 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1287A,1839-08-14 00:00:00,galpin ,['VERB'],[],0,0,1,0
US1315A,1839-09-07 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US1343A,1839-09-28 00:00:00,Liiviekiln ,['NOUN'],[],0,0,1,0
US1345A,1839-09-28 00:00:00,Penholder ,['NOUN'],[],0,0,1,0
US1364A,1839-10-12 00:00:00,simons ,['NOUN'],[],0,0,1,0
US1392A,1839-10-31 00:00:00,dtfnbar ,['VERB'],[],0,0,1,0
US1419A,1839-11-25 00:00:00,Wheeler ,['NOUN'],[],0,0,1,0
US1436A,1839-12-21 00:00:00,Construction ,['NOUN'],[],0,0,1,0
US1444A,1839-12-27 00:00:00,Stove ,['VERB'],[],0,0,1,0
US1446A,1839-12-27 00:00:00,Beehive ,['ADJ'],[],0,0,1,0
US1456A,1839-12-31 00:00:00,Office ,['NOUN'],[],0,0,1,0
US1487A,1840-02-08 00:00:00,Nells ,['NOUN'],[],0,0,1,0
US1489A,1840-10-16 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US1490A,1840-02-18 00:00:00,-peters ,['NOUN'],[],0,0,1,0
US1507A,1840-03-06 00:00:00,Worth ,['ADJ'],[],0,0,1,0
US1540A,1840-04-08 00:00:00,Stove ,['VERB'],[],0,0,1,0
US1553A,1840-04-15 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1596A,1840-05-08 00:00:00,bourne ,['NOUN'],[],0,0,1,0
US1599A,1840-05-12 00:00:00,withet ,['VERB'],[],0,0,1,0
US1607A,1840-05-19 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1612A,1840-05-19 00:00:00,Beehive ,['ADJ'],[],0,0,1,0
US1621A,1840-05-25 00:00:00,jeanes ,['NOUN'],[],0,0,1,0
US1693A,1840-07-18 00:00:00,Stove ,['VERB'],[],0,0,1,0
US1715A,1840-08-12 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1720A,1840-08-12 00:00:00,Wrench ,['NOUN'],[],0,0,1,0
US1729A,1840-08-25 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US1763A,1840-09-03 00:00:00,grimes ,['VERB'],[],0,0,1,0
US1792A,1840-09-19 00:00:00,gilbert ,['VERB'],[],0,0,1,0
US1799A,1840-09-25 00:00:00,chase ,['NOUN'],[],0,0,1,0
US1802A,1840-10-08 00:00:00,Pianoforte ,['NOUN'],[],0,0,1,0
US1803A,1840-10-08 00:00:00,grimes ,['VERB'],[],0,0,1,0
US1824A,1840-10-14 00:00:00,Island ,['NOUN'],[],0,0,1,0
US1830A,1840-10-16 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US1897A,1840-12-14 00:00:00,vvilliams ,['NOUN'],[],0,0,1,0
US1903A,1840-12-17 00:00:00,rayard ,['NOUN'],[],0,0,1,0
US1956A,1841-01-30 00:00:00,goodwin ,['NOUN'],[],0,0,1,0
US1981A,1841-02-18 00:00:00,backus ,['VERB'],[],0,0,1,0
US1996A,1841-03-03 00:00:00,grimes ,['VERB'],[],0,0,1,0
US1998A,1841-03-12 00:00:00,Refrigerator ,['NOUN'],[],0,0,1,0
US2074A,1841-05-04 00:00:00,church ,['NOUN'],[],0,0,1,0
US2076A,1841-05-04 00:00:00,gardiner ,['NOUN'],[],0,0,1,0
US2084A,1841-05-11 00:00:00,Island ,['NOUN'],[],0,0,1,0
US2098A,1841-05-19 00:00:00,Island ,['NOUN'],[],0,0,1,0
US2140A,1841-06-26 00:00:00,Island ,['NOUN'],[],0,0,1,0
US2147A,1841-06-26 00:00:00,dircks ,['NOUN'],[],0,0,1,0
US2151A,1841-07-01 00:00:00,Beehive ,['ADJ'],[],0,0,1,0
US2152A,1841-07-01 00:00:00,wells ,['NOUN'],[],0,0,1,0
US2164A,1841-07-10 00:00:00,Bridge ,['NOUN'],[],0,0,1,0
US2167A,1841-07-10 00:00:00,Pianoforte ,['NOUN'],[],0,0,1,0
US2171A,1841-07-16 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US2173A,1841-07-16 00:00:00,Improvement ,['NOUN'],[],0,0,1,0
US2245A,1841-09-11 00:00:00,wells ,['NOUN'],[],0,0,1,0
US2255A,1841-09-18 00:00:00,wells ,['NOUN'],[],0,0,1,0
US2256A,1841-09-18 00:00:00,wells ,['NOUN'],[],0,0,1,0
US2277A,1841-09-30 00:00:00,Island ,['NOUN'],[],0,0,1,0
US2298A,1841-10-11 00:00:00,Island ,['NOUN'],[],0,0,1,0
US2328A,1841-11-03 00:00:00,harvey ,['VERB'],[],0,0,1,0
US2334A,1841-11-10 00:00:00,Island ,['NOUN'],[],0,0,1,0
US2344A,1841-11-10 00:00:00,nbvins ,['VERB'],[],0,0,1,0
US2354A,1841-11-12 00:00:00,spaulding ,['VERB'],[],0,0,1,0
US2386A,1841-12-14 00:00:00,graves ,['NOUN'],[],0,0,1,0
