patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts,misspelt_words,misspelt
US8A,1836-08-10 00:00:00,Machine for cutting scores around ships' tackle blocks and dead eyes,"['NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PART', 'PROPN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN']",[],1,0,13,"['machine', 'for', 'cutting', 'scores', 'around', ""ships'"", 'tackle', 'blocks', 'and', 'dead', 'eyes']",0,0,"{""ships'""}",1
US13A,1836-08-31 00:00:00,Mode of laying veneers on ogee and other moldings,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN']",[],1,0,9,"['mode', 'of', 'laying', 'veneers', 'on', 'ogee', 'and', 'other', 'moldings']",0,0,{'ogee'},1
US24A,1836-09-14 00:00:00,Mortisistg maghiite,"['PROPN', 'PUNCT', 'NOUN']",['NORP'],1,0,3,['mortisistg-maghiite'],0,0,"{'maghiite', 'mortisistg'}",1
US35A,1836-09-29 00:00:00,Sliding craitk fob sawmills,"['VERB', 'VERB', 'PROPN', 'VERB']",[],1,0,4,"['sliding', 'craitk', 'fob', 'sawmills']",0,0,"{'sawmills', 'craitk'}",1
US39A,1836-10-04 00:00:00,Purifying  wateil for use in steamt boilees,"['PROPN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,8,"['purifying-', 'wateil', 'for', 'use', 'in', 'steamt-boilees']",0,0,"{'wateil', 'boilees', 'steamt'}",1
US43A,1836-10-11 00:00:00,Ends alvord and nelson alvord,"['VERB', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,5,"['ends', 'alvord', 'and', 'nelson', 'alvord']",0,0,{'alvord'},1
US46A,1836-10-11 00:00:00,Shuttee fastejtee poe stoee wtktdows,"['NOUN', 'PUNCT', 'NOUN', 'PROPN', 'ADJ', 'PUNCT', 'NOUN']",[],1,0,7,"['shuttee-fastejtee', 'poe', 'stoee-wtktdows']",0,0,"{'wtktdows', 'stoee', 'fastejtee', 'shuttee'}",1
US78A,1836-11-14 00:00:00,Amasa sizer andx g george sizer,"['PROPN', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']",[],1,0,6,"['amasa', 'sizer', 'andx', 'g', 'george', 'sizer']",0,0,"{'amasa', 'andx', 'sizer', 'g'}",1
US87A,1836-11-26 00:00:00,X f frictionless pump,"['PROPN', 'PROPN', 'ADJ', 'NOUN']",[],1,0,4,"['x', 'f', 'frictionless', 'pump']",0,0,"{'f', 'frictionless', 'x'}",1
US92A,1836-11-28 00:00:00,Machine for nicking or cutting notci ies in heads of wood screws,"['NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'PUNCT', 'PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,14,"['machine', 'for', 'nicking', 'or', 'cutting', 'notci-ies', 'in', 'heads', 'of', 'wood-screws']",0,0,{'notci'},1
US96A,1836-12-02 00:00:00,Temple eor weaving  cloth,"['PROPN', 'PROPN', 'NUM', 'NOUN']",[],1,0,4,"['temple', 'eor', 'weaving-', 'cloth']",0,0,{'eor'},1
US98A,1836-12-02 00:00:00,robinson and f,"['PROPN', 'CCONJ', 'NOUN']",[],1,0,3,"['robinson', 'and', 'f']",0,0,{'f'},1
US101A,1836-12-06 00:00:00,Method of jcakibtg and furling iw sails fob ships,"['PROPN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'NOUN']",[],1,0,9,"['method', 'of', 'jcakibtg', 'and', 'furling', 'iw', 'sails', 'fob', 'ships']",0,0,"{'iw', 'jcakibtg', 'furling'}",1
US120A,1837-02-10 00:00:00,Mode of constructing steelyard balances,"['PROPN', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,6,"['mode', 'of', 'constructing', 'steelyard-balances']",0,0,{'steelyard'},1
US127A,1837-02-16 00:00:00,Mode oe coitstbuctikg bebtch abtd othek vises,"['PROPN', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN']",[],1,0,7,"['mode', 'oe', 'coitstbuctikg', 'bebtch', 'abtd', 'othek', 'vises']",0,0,"{'vises', 'othek', 'coitstbuctikg', 'bebtch', 'abtd'}",1
US131A,1837-02-24 00:00:00,Machine foe cutting eur fedm skins,"['NOUN', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'NOUN']",[],1,0,6,"['machine', 'foe', 'cutting', 'eur', 'fedm', 'skins']",0,0,"{'fedm', 'eur'}",1
