patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US100251A,1870-03-01,of mansfield ,"['of', 'mansfield']","[('of', 'IN'), ('mansfield', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US100448A,1870-03-01,The ends of rubber hose ,"['The', 'ends', 'of', 'rubber', 'hose']","[('The', 'DT'), ('ends', 'NNS'), ('of', 'IN'), ('rubber', 'NN'), ('hose', 'NN')]",0,"['DET', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],0,0,5,0,1
US100453A,1870-03-01,of middletown ,"['of', 'middletown']","[('of', 'IN'), ('middletown', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US101095A,1870-03-22,of windsor ,"['of', 'windsor']","[('of', 'IN'), ('windsor', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US101268A,1870-03-29,For fire ,"['For', 'fire']","[('For', 'IN'), ('fire', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US101748A,1870-04-12,of worcester ,"['of', 'worcester']","[('of', 'IN'), ('worcester', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US101965A,1870-04-12,In ptohacss ,"['In', 'ptohacss']","[('In', 'IN'), ('ptohacss', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US102159A,1870-04-19,The heels of boots and shoes ,"['The', 'heels', 'of', 'boots', 'and', 'shoes']","[('The', 'DT'), ('heels', 'NNS'), ('of', 'IN'), ('boots', 'NNS'), ('and', 'CC'), ('shoes', 'NNS')]",0,"['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN']",[],0,0,6,0,1
US102558A,1870-05-03,Than t ,"['Than', 't']","[('Than', 'NNP'), ('t', 'NN')]",1,"['ADP', 'NOUN']",[],0,0,2,0,1
US102915A,1870-05-10,Of burlington ,"['Of', 'burlington']","[('Of', 'IN'), ('burlington', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US103076A,1870-05-17,To themselves ,"['To', 'themselves']","[('To', 'TO'), ('themselves', 'PRP')]",0,"['ADP', 'PRON']",[],0,0,2,0,1
US103471A,1870-05-24,And loop-retaining comb for knitting-ma ,"['And', 'loop-retaining', 'comb', 'for', 'knitting-ma']","[('And', 'CC'), ('loop-retaining', 'JJ'), ('comb', 'NN'), ('for', 'IN'), ('knitting-ma', 'NN')]",0,"['CCONJ', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,9,0,1
US104496A,1870-06-21,A i n t an  ,"['A', 'i', 'n', 't', 'an']","[('A', 'DT'), ('i', 'JJ'), ('n', 'NN'), ('t', 'VBD'), ('an', 'DT')]",0,"['DET', 'NOUN', 'CCONJ', 'NOUN', 'DET', 'SPACE']",[],0,0,6,0,1
US104818A,1870-06-28,And washing fabrics ,"['And', 'washing', 'fabrics']","[('And', 'CC'), ('washing', 'VBG'), ('fabrics', 'NNS')]",0,"['CCONJ', 'NOUN', 'NOUN']",[],0,0,3,0,1
US105502A,1870-07-19,In concrete pavement ,"['In', 'concrete', 'pavement']","[('In', 'IN'), ('concrete', 'JJ'), ('pavement', 'NN')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US105560A,1870-07-19,And beautifying crystallized salts upon ,"['And', 'beautifying', 'crystallized', 'salts', 'upon']","[('And', 'CC'), ('beautifying', 'VBG'), ('crystallized', 'VBN'), ('salts', 'NNS'), ('upon', 'IN')]",0,"['CCONJ', 'VERB', 'VERB', 'NOUN', 'SCONJ']",[],0,0,5,0,1
US106098A,1870-08-02,And closing envelopes ,"['And', 'closing', 'envelopes']","[('And', 'CC'), ('closing', 'NN'), ('envelopes', 'NNS')]",0,"['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US106487A,1870-08-16,For wire riggings ,"['For', 'wire', 'riggings']","[('For', 'IN'), ('wire', 'NN'), ('riggings', 'NNS')]",0,"['ADP', 'NOUN', 'NOUN']",[],0,0,3,0,1
US106521A,1870-08-16,of ed in burg ,"['of', 'ed', 'in', 'burg']","[('of', 'IN'), ('ed', 'NN'), ('in', 'IN'), ('burg', 'NN')]",0,"['ADP', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US106584A,1870-08-23,Or tawing skins ,"['Or', 'tawing', 'skins']","[('Or', 'CC'), ('tawing', 'NN'), ('skins', 'NNS')]",0,"['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
