patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US100110A,1870-02-22,Geoege w ,"['Geoege', 'w']","[('Geoege', 'NNP'), ('w', 'NN')]",1,"['VERB', 'ADP']",[],0,0,2,1
US100425A,1870-03-01,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US100768A,1870-03-15,hie a m in ,"['hie', 'a', 'm', 'in']","[('hie', 'VB'), ('a', 'DT'), ('m', 'NN'), ('in', 'IN')]",0,"['INTJ', 'DET', 'NOUN', 'ADP']",[],0,0,4,1
US100788A,1870-03-15,The nor ,"['The', 'nor']","[('The', 'DT'), ('nor', 'CC')]",0,"['PRON', 'CCONJ']",[],0,0,2,1
US100906A,1870-03-15,Examijieh ,['Examijieh'],"[('Examijieh', 'NN')]",0,['CCONJ'],[],0,0,1,1
US101067A,1870-03-22,Improvement in the manufacture of iron and in the apparatus therefor ,"['Improvement', 'in', 'the', 'manufacture', 'of', 'iron', 'and', 'in', 'the', 'apparatus', 'therefor']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('manufacture', 'NN'), ('of', 'IN'), ('iron', 'NN'), ('and', 'CC'), ('in', 'IN'), ('the', 'DT'), ('apparatus', 'NN'), ('therefor', 'NN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,11,1
US103242A,1870-05-17,Improvement in tool-grinding- attachment to ,"['Improvement', 'in', 'tool-grinding-', 'attachment', 'to']","[('Improvement', 'NN'), ('in', 'IN'), ('tool-grinding-', 'JJ'), ('attachment', 'NN'), ('to', 'TO')]",0,"['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP']",[],0,0,7,1
US105355A,1870-07-12,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US105705A,1870-07-26,Improvement in device for ,"['Improvement', 'in', 'device', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('device', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US106212A,1870-08-09,Improvement in apparatus for cooling the rollers used in the manufacture of ,"['Improvement', 'in', 'apparatus', 'for', 'cooling', 'the', 'rollers', 'used', 'in', 'the', 'manufacture', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('apparatus', 'NN'), ('for', 'IN'), ('cooling', 'VBG'), ('the', 'DT'), ('rollers', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('manufacture', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,12,1
US106658A,1870-08-23,Or regulating the flow of ,"['Or', 'regulating', 'the', 'flow', 'of']","[('Or', 'CC'), ('regulating', 'VBG'), ('the', 'DT'), ('flow', 'NN'), ('of', 'IN')]",0,"['CCONJ', 'VERB', 'DET', 'NOUN', 'ADP']",[],0,0,5,1
US107794A,1870-09-27,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US109288A,1870-11-15,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US109350A,1870-11-15,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US109454A,1870-11-22,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US109577A,1870-11-29,Improvement in machines for ,"['Improvement', 'in', 'machines', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('machines', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
