patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US100005A,1870-02-22,Makcar wahbam beylikgy ,"['Makcar', 'wahbam', 'beylikgy']","[('Makcar', 'NNP'), ('wahbam', 'NN'), ('beylikgy', 'NN')]",1,"['PROPN', 'NOUN', 'NOUN']",['PERSON'],1,1,3
US100009A,1870-02-22,briggs ,['briggs'],"[('briggs', 'NNS')]",0,['PROPN'],['PERSON'],1,1,1
US100017A,1870-02-22,Joseph m ,"['Joseph', 'm']","[('Joseph', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US100035A,1870-02-22,William b ,"['William', 'b']","[('William', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US100037A,1870-02-22,Austin d ,"['Austin', 'd']","[('Austin', 'NNP'), ('d', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US100044A,1870-02-22,James kind el ,"['James', 'kind', 'el']","[('James', 'NNP'), ('kind', 'NN'), ('el', 'NN')]",1,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3
US100049A,1870-02-22,Theis ,['Theis'],"[('Theis', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US100056A,1870-02-22,George r ,"['George', 'r']","[('George', 'NNP'), ('r', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US100071A,1870-02-22,Edwin t ,"['Edwin', 't']","[('Edwin', 'NNP'), ('t', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US100078A,1870-02-22,David b ,"['David', 'b']","[('David', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US100090A,1870-02-22,george warsop ,"['george', 'warsop']","[('george', 'NN'), ('warsop', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US100096A,1870-02-22,Henry a ,"['Henry', 'a']","[('Henry', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",['PERSON'],1,1,2
US100097A,1870-02-22,John allgaier ,"['John', 'allgaier']","[('John', 'NNP'), ('allgaier', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US100113A,1870-02-22,Joseph breeden ,"['Joseph', 'breeden']","[('Joseph', 'NNP'), ('breeden', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US100115A,1870-02-22,William-brown ,['William-brown'],"[('William-brown', 'JJ')]",0,"['PROPN', 'PUNCT', 'NOUN']",['PERSON'],1,1,3
