patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US100024A,1870-02-22,Stove gkate ,"['Stove', 'gkate']","[('Stove', 'NNP'), ('gkate', 'NN')]",1,"['PROPN', 'VERB']",[],1,0,2
US100027A,1870-02-22,peters ,['peters'],"[('peters', 'NNS')]",0,['PROPN'],[],1,0,1
US100033A,1870-02-22,Improvement in g-rain-driliis ,"['Improvement', 'in', 'g-rain-driliis']","[('Improvement', 'NN'), ('in', 'IN'), ('g-rain-driliis', 'NN')]",0,"['NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,7
US100045A,1870-02-22,landrine ,['landrine'],"[('landrine', 'NN')]",0,['PROPN'],[],1,0,1
US100048A,1870-02-22,Improvement in tremolos for organs ,"['Improvement', 'in', 'tremolos', 'for', 'organs']","[('Improvement', 'NN'), ('in', 'IN'), ('tremolos', 'NN'), ('for', 'IN'), ('organs', 'NNS')]",0,"['NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN']",[],1,0,5
US100067A,1870-02-22,Improvement in ficttyre envelopes ,"['Improvement', 'in', 'ficttyre', 'envelopes']","[('Improvement', 'NN'), ('in', 'IN'), ('ficttyre', 'NN'), ('envelopes', 'NNS')]",0,"['NOUN', 'ADP', 'PROPN', 'NOUN']",[],1,0,4
US100079A,1870-02-22,Improvement ik faucet ,"['Improvement', 'ik', 'faucet']","[('Improvement', 'NNP'), ('ik', 'NN'), ('faucet', 'NN')]",1,"['NOUN', 'PROPN', 'NOUN']",[],1,0,3
US100085A,1870-02-22,stolbrand ,['stolbrand'],"[('stolbrand', 'NN')]",0,['PROPN'],[],1,0,1
US100107A,1870-02-22,bellman  ,['bellman'],"[('bellman', 'NN')]",0,"['PROPN', 'SPACE']",[],1,0,2
US100119A,1870-02-22,colby ,['colby'],"[('colby', 'NN')]",0,['PROPN'],[],1,0,1
US100144A,1870-02-22,hazlett ,['hazlett'],"[('hazlett', 'NN')]",0,['PROPN'],['ORG'],1,0,1
