patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US100003A,1870-02-22,bessemer ,['bessemer'],"[('bessemer', 'NN')]",0,['NOUN'],[],0,0,1,0
US100013A,1870-02-22,chubbuck ,['chubbuck'],"[('chubbuck', 'NN')]",0,['VERB'],[],0,0,1,0
US100086A,1870-02-22,talcott ,['talcott'],"[('talcott', 'NN')]",0,['VERB'],[],0,0,1,0
US100138A,1870-02-22,goodfellow ,['goodfellow'],"[('goodfellow', 'NN')]",0,['VERB'],[],0,0,1,0
US100164A,1870-02-22,lymast ,['lymast'],"[('lymast', 'NN')]",0,['NOUN'],[],0,0,1,0
US100184A,1870-02-22,safes ,['safes'],"[('safes', 'NN')]",0,['NOUN'],[],0,0,1,0
US100235A,1870-02-22,bturtevant ,['bturtevant'],"[('bturtevant', 'NN')]",0,['ADJ'],[],0,0,1,0
US100272A,1870-03-01,Dening ,['Dening'],"[('Dening', 'VBG')]",0,['VERB'],[],0,0,1,0
US100352A,1870-03-01,Tholomay ,['Tholomay'],"[('Tholomay', 'NN')]",0,['NOUN'],[],0,0,1,0
US100368A,1870-03-01,Administrator ,['Administrator'],"[('Administrator', 'NN')]",0,['NOUN'],[],0,0,1,0
US100393A,1870-03-01,-peters ,['-peters'],"[('-peters', 'NNS')]",0,['NOUN'],[],0,0,1,0
US100407A,1870-03-01,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US100447A,1870-03-01,Machines ,['Machines'],"[('Machines', 'NNS')]",0,['NOUN'],[],0,0,1,0
US100483A,1870-03-01,woodbury ,['woodbury'],"[('woodbury', 'NN')]",0,['ADJ'],[],0,0,1,0
US100525A,1870-03-08,hanks ,['hanks'],"[('hanks', 'NNS')]",0,['NOUN'],[],0,0,1,0
US100550A,1870-03-08,Ering ,['Ering'],"[('Ering', 'VBG')]",0,['VERB'],[],0,0,1,0
US100636A,1870-03-08,Insleyd ,['Insleyd'],"[('Insleyd', 'NN')]",0,['NOUN'],['GPE'],0,0,1,0
US100671A,1870-03-08,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US100710A,1870-03-15,bachelder ,['bachelder'],"[('bachelder', 'NN')]",0,['VERB'],[],0,0,1,0
US100736A,1870-03-15,dundeedale ,['dundeedale'],"[('dundeedale', 'NN')]",0,['NOUN'],[],0,0,1,0
