patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US1400097A,1921-04-08,Toy aeroplane,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1403461A,1921-06-09,Apparatus for underground-animal extermination,"['PROPN', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'SPACE']",[],1,0,7,1
US1403714A,1918-06-12,Apparatus for making photographic enlargements,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'SPACE']",[],1,0,6,1
US1403796A,1919-03-03,Rotary bake oven,"['ADJ', 'NOUN', 'PROPN', 'SPACE']",['GPE'],1,0,4,1
US1404368A,1921-01-27,Conductor's equipment case,"['PROPN', 'PART', 'NOUN', 'NOUN', 'SPACE']",[],1,0,5,1
US1405947A,1920-07-12,Apparatus for manufacturing pulp,"['PROPN', 'ADP', 'VERB', 'NOUN', 'SPACE']",[],1,0,5,1
US1406772A,1919-03-10,Hand cultivator,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1409303A,1922-03-14,Gun deflection-angle and range measuring instrument,"['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'NOUN']",[],1,0,8,1
US1411092A,1920-08-02,Laundry tag,"['PROPN', 'NOUN', 'SPACE']",['ORG'],1,0,3,1
US1413288A,1920-12-07,Throttle valve,"['PROPN', 'VERB', 'SPACE']",[],1,0,3,1
US1416093A,1921-02-26,Combination shade and curtain hanger,"['NOUN', 'NOUN', 'CCONJ', 'PROPN', 'PROPN', 'SPACE']",[],1,0,6,1
US1416188A,1921-08-02,Drag link,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1417913A,1914-07-28,Apparatus for generating high-frequency electric currents,"['PROPN', 'ADP', 'VERB', 'ADJ', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'SPACE']",[],1,0,9,1
US1418027A,1921-01-26,Process for forming plaster board,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,1
US1418354A,1920-08-14,Waterproof covering for hats,"['PROPN', 'VERB', 'ADP', 'NOUN', 'SPACE']",[],1,0,5,1
US1419696A,1921-09-28,Collar fastener,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1438783A,1919-03-28,"Grader for potatoes, roots, and fruit","['PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'SPACE']",[],1,0,9,1
US1440892A,1922-07-29,Water-closet,"['NOUN', 'PUNCT', 'PROPN', 'SPACE']",[],1,0,4,1
US1445175A,1921-06-18,Means for connecting the shafts of mixing machines to the hubs of mixing or agitating blades,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'SPACE']",[],1,0,17,1
US1448794A,1920-01-19,Pivot polisher,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1455363A,1916-11-08,Process of purifying water,"['PROPN', 'ADP', 'VERB', 'NOUN', 'SPACE']",[],1,0,5,1
US1467737A,1922-03-21,Oil or like press or expressing apparatus of the worm-screw type,"['NOUN', 'CCONJ', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'NOUN', 'SPACE']",[],1,0,14,1
US1468865A,1921-12-16,Lamp shade,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1474871A,1920-08-16,Apparatus for preparing cane for extraction,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],1,0,7,1
US1477553A,1919-05-22,Method and means for amplifying and projecting sound,"['PROPN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'SPACE']",[],1,0,9,1
US1483616A,1923-04-23,"Shutter for the headlights of motor cars, motor cycles, and other vehicles","['PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'SPACE']",['ORG'],1,0,15,1
US1484947A,1923-03-14,Hand-control load-lifting truck,"['PROPN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],1,0,8,1
US1488914A,1920-12-01,Method of making sheet glass,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,1
US1493531A,1923-05-11,Tray handler,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1495481A,1922-12-23,Apparatus for measuring the refractive value of the principal point of the eye,"['PROPN', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE']",[],1,0,14,1
US1498148A,1920-07-14,Receptacle and cap therefor,"['NOUN', 'CCONJ', 'NOUN', 'PROPN', 'SPACE']",['ORG'],1,0,5,1
US1498630A,1921-06-08,Apparatus for cooling comminuted solid material,"['PROPN', 'ADP', 'VERB', 'VERB', 'ADJ', 'NOUN', 'SPACE']",[],1,0,7,1
US1498917A,1921-11-02,Apparatus for the distillation of carbonaceous materials,"['PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SPACE']",[],1,0,8,1
US1499397A,1922-10-25,Roofing tile,"['PROPN', 'NOUN', 'SPACE']",[],1,0,3,1
US1499630A,1923-06-02,Portable wall section for house building,"['ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'SPACE']",[],1,0,7,1
US1400623A,1920-01-30,Protecting appliance for use on automobiles,"['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,7,1
US1400680A,1921-02-28,Curtain-window for vehicles,"['NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,6,1
US1401082A,1921-06-06,Trolley apparatus,"['NOUN', 'NOUN', 'SPACE']",['GPE'],0,0,3,1
US1401376A,1917-11-14,Fiber-conditioning process and apparatus,"['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'SPACE']",[],0,0,7,1
US1402638A,1921-03-01,Process for the treatment of undecomposed fertilizing substances,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'SPACE']",[],0,0,9,1
US1402781A,1920-04-30,Casket-lowering device,"['NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],0,0,5,1
US1403527A,1919-10-01,Tobacco pipe,"['NOUN', 'NOUN', 'SPACE']",[],0,0,3,1
US1403541A,1919-05-28,Sheet-feeding machine,"['NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],0,0,5,1
US1403589A,1921-09-13,Spring-leaf spreader and lubricator,"['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'SPACE']",[],0,0,7,1
US1403605A,1919-12-26,Rotary fountain brush,"['ADJ', 'NOUN', 'NOUN', 'SPACE']",['GPE'],0,0,4,1
US1403747A,1921-02-16,Stay-bolt structure,"['VERB', 'PUNCT', 'NOUN', 'NOUN', 'SPACE']",[],0,0,5,1
US1404187A,1918-01-29,Electric lighting system,"['ADJ', 'NOUN', 'NOUN', 'SPACE']",[],0,0,4,1
US1404335A,1920-07-12,Machine for loading cotton bales in cars,"['NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,8,1
US1405272A,1921-06-27,Transmission,"['NOUN', 'SPACE']",[],0,0,2,1
US1405449A,1921-06-09,Cellulose-ether solvent and composition,"['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'SPACE']",[],0,0,7,1
US1406490A,1920-08-27,Watering device for cattle,"['NOUN', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,5,1
US1407464A,1922-02-21,Combined holber j,"['VERB', 'NOUN', 'NOUN']",[],0,0,3,1
US1407601A,1921-04-22,Sifter,"['NOUN', 'SPACE']",[],0,0,2,1
US1407772A,1921-09-12,Protective covering for waterproofing coating on concrete,"['ADJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,8,1
US1407798A,1919-12-03,Reserve-supply device for automobile fuel tanks,"['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'SPACE']",[],0,0,9,1
US1407911A,1919-12-17,Driving and steering axle,"['VERB', 'CCONJ', 'NOUN', 'NOUN', 'SPACE']",[],0,0,5,1
US1408082A,1921-03-16,Safety anchor,"['NOUN', 'NOUN', 'SPACE']",[],0,0,3,1
US1408430A,1919-10-20,Charging and discharging device,"['VERB', 'CCONJ', 'VERB', 'NOUN', 'SPACE']",[],0,0,5,1
US1409225A,1916-07-29,Photographic exposure meter,"['ADJ', 'NOUN', 'NOUN', 'SPACE']",[],0,0,4,1
US1409408A,1922-03-14,Motor sleigh,"['NOUN', 'NOUN']",[],0,0,2,1
US1409508A,1921-05-20,Magnetic steadying device for electrodes,"['ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,6,1
US1409636A,1921-11-16,Automatic railway gate,"['ADJ', 'NOUN', 'NOUN', 'SPACE']",[],0,0,4,1
US1409662A,1920-12-11,Adjustable back rest,"['ADJ', 'ADV', 'NOUN', 'SPACE']",[],0,0,4,1
US1409865A,1920-04-10,Radiator for motor vehicles,"['NOUN', 'ADP', 'NOUN', 'NOUN', 'SPACE']",[],0,0,5,1
US1409884A,1921-07-08,Animal trap,"['NOUN', 'NOUN', 'SPACE']",[],0,0,3,1
US1409989A,1921-06-13,Ice chipper,"['NOUN', 'NOUN', 'SPACE']",[],0,0,3,1
US1410616A,1919-03-04,Concentrator,"['NOUN', 'SPACE']",[],0,0,2,1
US1411386A,1920-11-15,Folding insulation for flange joints,"['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'SPACE']",[],0,0,6,1
US1411433A,1921-04-06,Flexible shafting,"['ADJ', 'NOUN', 'SPACE']",[],0,0,3,1
US1411548A,1921-07-18,Bicycle gearing,"['NOUN', 'VERB', 'SPACE']",[],0,0,3,1
US1412252A,1920-09-15,Machine gun and similar weapon,"['NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'SPACE']",[],0,0,6,1
US1412369A,1917-03-02,Door-operating mechanism,"['NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],0,0,5,1
US1412460A,1921-03-08,Screen and storm-sash hanger,"['NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'SPACE']",[],0,0,7,1
US1412600A,1921-07-14,Lock,"['VERB', 'SPACE']",[],0,0,2,1
US1413498A,1920-03-26,Ratchet drive for conveyers,"['NOUN', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,5,1
US1413791A,1921-01-08,Metallic packing for pistons,"['ADJ', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],0,0,5,1
US1414233A,1918-12-09,Starting mechanism for internal-combustion engines,"['VERB', 'NOUN', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'SPACE']",[],0,0,8,1
US1414780A,1916-08-19,Cooling system for internal-combustion engines,"['VERB', 'NOUN', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'SPACE']",[],0,0,8,1
