patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1400026A,1921-12-13,Yarn s,"['PROPN', 'VERB']",['PERSON'],1,1,2
US1400065A,1920-10-20,"Holding-tool for sharpening scrapers, & c.","['NOUN', 'PUNCT', 'NOUN', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'PROPN', 'SPACE']",['PERSON'],1,1,10
US1400084A,1920-01-14,Cigar-box,"['PROPN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,4
US1400158A,1918-03-29,Chuck for phonograph-styli,"['PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,6
US1400180A,1916-09-21,Yarn severing and clamping device for knitting-machines,"['PROPN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,10
US1400272A,1917-12-20,Chuck for machine-tools,"['PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,6
US1400306A,1917-12-26,Chuck for machine-tools,"['PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,6
US1400358A,1919-06-27,Antiskid device,"['PROPN', 'NOUN', 'SPACE']",['PERSON'],1,1,3
US1400378A,1920-03-16,Shears,"['NOUN', 'SPACE']",['PERSON'],0,1,2
US1400403A,1920-04-14,Yarn package and the like and method and mechanism for winding it,"['PROPN', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'CCONJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'PRON', 'SPACE']",['PERSON'],1,1,13
US1400437A,1921-03-24,Sadiron,"['PROPN', 'SPACE']",['PERSON'],1,1,2
US1400500A,1921-12-13,karl and b,"['PROPN', 'CCONJ', 'NOUN']",['PERSON'],1,1,3
US1400528A,1919-07-21,Cap,"['PROPN', 'SPACE']",['PERSON'],1,1,2
US1400605A,1920-10-21,Jack,"['PROPN', 'SPACE']",['PERSON'],1,1,2
US1400614A,1919-11-06,Turret attachment for metal-working machines,"['PROPN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",['PERSON'],1,1,8
US1400650A,1921-01-28,Gailley end lock,"['PROPN', 'VERB', 'NOUN', 'SPACE']",['PERSON'],1,1,4
US1400755A,1921-12-20,Charles l,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US1400811A,1918-05-20,Dimmer,"['NOUN', 'SPACE']",['PERSON'],0,1,2
US1400849A,1918-08-07,Continuous process for the manufacture of esters,"['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE']",['PERSON'],0,1,8
US1401129A,1917-08-07,Miner's carbid-lamp,"['PROPN', 'PART', 'NOUN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,6
US1401148A,1921-12-27,william g,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US1401152A,1919-07-02,Cartridge-holder,"['PROPN', 'PUNCT', 'NOUN', 'SPACE']",['PERSON'],1,1,4
US1401171A,1921-12-27,manny,['ADJ'],['PERSON'],0,1,1
US1401172A,1919-11-15,Jack-actuating lever,"['PROPN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",['PERSON'],1,1,5
