patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US1602313A,1925-11-05,"In and out indicator 
     ","['In', 'and', 'out', 'indicator']","[('In', 'IN'), ('and', 'CC'), ('out', 'IN'), ('indicator', 'NN')]","['ADP', 'CCONJ', 'ADV', 'PROPN', 'SPACE']",[],1,0,5,0,1
US1605776A,1926-11-02,And one-fourth to joseph l ,"['And', 'one-fourth', 'to', 'joseph', 'l']","[('And', 'CC'), ('one-fourth', 'JJ'), ('to', 'TO'), ('joseph', 'VB'), ('l', 'NN')]","['CCONJ', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PROPN']",['CARDINAL'],1,0,7,0,1
US1606091A,1926-11-09,At-e n- t off ,"['At-e', 'n-', 't', 'off']","[('At-e', 'JJ'), ('n-', 'JJ'), ('t', 'NN'), ('off', 'IN')]","['ADP', 'PUNCT', 'PROPN', 'X', 'PROPN', 'ADP']",[],1,0,6,0,1
US1606406A,1926-11-09,A cgbpgbatigst oe penn ,"['A', 'cgbpgbatigst', 'oe', 'penn']","[('A', 'DT'), ('cgbpgbatigst', 'NN'), ('oe', 'NN'), ('penn', 'NN')]","['DET', 'ADJ', 'PROPN', 'NOUN']",[],1,0,4,0,1
US1608059A,1926-11-23,of los angeles ,"['of', 'los', 'angeles']","[('of', 'IN'), ('los', 'NN'), ('angeles', 'NNS')]","['ADP', 'PROPN', 'PROPN']",['GPE'],1,0,3,0,1
US1610019A,1926-12-07,of san francisco ,"['of', 'san', 'francisco']","[('of', 'IN'), ('san', 'JJ'), ('francisco', 'NN')]","['ADP', 'PROPN', 'PROPN']",['GPE'],1,0,3,0,1
US1616989A,1926-08-04,"By-pass clearance unloader 
     ","['By-pass', 'clearance', 'unloader']","[('By-pass', 'JJ'), ('clearance', 'NN'), ('unloader', 'NN')]","['ADP', 'PUNCT', 'ADJ', 'NOUN', 'PROPN', 'SPACE']",[],1,0,6,0,1
US1619031A,1927-03-01,And paul ostrosky ,"['And', 'paul', 'ostrosky']","[('And', 'CC'), ('paul', 'NN'), ('ostrosky', 'NN')]","['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US1619035A,1927-03-01,A partnership comprising john rafter ,"['A', 'partnership', 'comprising', 'john', 'rafter']","[('A', 'DT'), ('partnership', 'NN'), ('comprising', 'VBG'), ('john', 'NN'), ('rafter', 'NN')]","['DET', 'NOUN', 'VERB', 'PROPN', 'PROPN']",[],1,0,5,0,1
US1622249A,1927-03-22,And one-third to herman t ,"['And', 'one-third', 'to', 'herman', 't']","[('And', 'CC'), ('one-third', 'JJ'), ('to', 'TO'), ('herman', 'VB'), ('t', 'NN')]","['CCONJ', 'NUM', 'PUNCT', 'NOUN', 'PART', 'NOUN', 'PROPN']",['CARDINAL'],1,0,7,0,1
US1624172A,1927-04-12,of los angeles ,"['of', 'los', 'angeles']","[('of', 'IN'), ('los', 'NN'), ('angeles', 'NNS')]","['ADP', 'PROPN', 'PROPN']",['GPE'],1,0,3,0,1
US1625964A,1927-04-26,To milwaukee gas ,"['To', 'milwaukee', 'gas']","[('To', 'TO'), ('milwaukee', 'VB'), ('gas', 'NN')]","['ADP', 'PROPN', 'NOUN']",['GPE'],1,0,3,0,1
US1628384A,1927-05-10,And one-third to charles g ,"['And', 'one-third', 'to', 'charles', 'g']","[('And', 'CC'), ('one-third', 'JJ'), ('to', 'TO'), ('charles', 'NNS'), ('g', 'NNS')]","['CCONJ', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'NOUN']",['CARDINAL'],1,0,7,0,1
US1629490A,1927-05-24,And willis d ,"['And', 'willis', 'd']","[('And', 'CC'), ('willis', 'NN'), ('d', 'NN')]","['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US1629758A,1927-05-24,Of san francisco ,"['Of', 'san', 'francisco']","[('Of', 'IN'), ('san', 'JJ'), ('francisco', 'NN')]","['ADP', 'PROPN', 'PROPN']",['GPE'],1,0,3,0,1
US1631759A,1927-06-07,And thomas c ,"['And', 'thomas', 'c']","[('And', 'CC'), ('thomas', 'VB'), ('c', 'NN')]","['CCONJ', 'PROPN', 'AUX']",[],1,0,3,0,1
US1638162A,1927-08-09,And bobert t ,"['And', 'bobert', 't']","[('And', 'CC'), ('bobert', 'NN'), ('t', 'NN')]","['CCONJ', 'NOUN', 'PROPN']",[],1,0,3,0,1
US1641338A,1927-09-06,At f n t o f fic ,"['At', 'f', 'n', 't', 'o', 'f', 'fic']","[('At', 'IN'), ('f', 'JJ'), ('n', 'JJ'), ('t', 'NN'), ('o', 'NN'), ('f', 'NN'), ('fic', 'NN')]","['ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'X', 'ADJ']",[],1,0,7,0,1
US1645418A,1927-10-11,A cobsobatioh of del aw abe ,"['A', 'cobsobatioh', 'of', 'del', 'aw', 'abe']","[('A', 'DT'), ('cobsobatioh', 'NN'), ('of', 'IN'), ('del', 'NN'), ('aw', 'NN'), ('abe', 'NN')]","['DET', 'NOUN', 'ADP', 'PROPN', 'INTJ', 'PROPN']",[],1,0,6,0,1
US1645835A,1927-10-18,A corpoeation of bel aw abe ,"['A', 'corpoeation', 'of', 'bel', 'aw', 'abe']","[('A', 'DT'), ('corpoeation', 'NN'), ('of', 'IN'), ('bel', 'NN'), ('aw', 'NN'), ('abe', 'NN')]","['DET', 'NOUN', 'ADP', 'PROPN', 'INTJ', 'PROPN']",[],1,0,6,0,1
US1647724A,1927-11-01,A cobpobatiost oe eiassachttsstts ,"['A', 'cobpobatiost', 'oe', 'eiassachttsstts']","[('A', 'DT'), ('cobpobatiost', 'NN'), ('oe', 'NN'), ('eiassachttsstts', 'NN')]","['DET', 'NOUN', 'NOUN', 'PROPN']",[],1,0,4,0,1
US1653431A,1927-12-20,Of san francisco ,"['Of', 'san', 'francisco']","[('Of', 'IN'), ('san', 'JJ'), ('francisco', 'NN')]","['ADP', 'PROPN', 'PROPN']",['GPE'],1,0,3,0,1
US1655166A,1928-01-03,A cobp oratioit oe belawaee ,"['A', 'cobp', 'oratioit', 'oe', 'belawaee']","[('A', 'DT'), ('cobp', 'NN'), ('oratioit', 'JJ'), ('oe', 'NN'), ('belawaee', 'NN')]","['DET', 'NOUN', 'VERB', 'PROPN', 'PROPN']",[],1,0,5,0,1
US1661811A,1928-03-06,A volujsttabt tbttst association op ,"['A', 'volujsttabt', 'tbttst', 'association', 'op']","[('A', 'DT'), ('volujsttabt', 'NN'), ('tbttst', 'NN'), ('association', 'NN'), ('op', 'NN')]","['DET', 'PROPN', 'NOUN', 'NOUN', 'NOUN']",[],1,0,5,0,1
US1663885A,1928-03-27,Of west orange ,"['Of', 'west', 'orange']","[('Of', 'IN'), ('west', 'JJS'), ('orange', 'NN')]","['ADP', 'PROPN', 'PROPN']",[],1,0,3,0,1
US1665800A,1928-04-10,And david j ,"['And', 'david', 'j']","[('And', 'CC'), ('david', 'VB'), ('j', 'NN')]","['CCONJ', 'PROPN', 'PROPN']",[],1,0,3,0,1
US1667558A,1928-04-24,And olos-thibd to alviif m ,"['And', 'olos-thibd', 'to', 'alviif', 'm']","[('And', 'CC'), ('olos-thibd', 'JJ'), ('to', 'TO'), ('alviif', 'VB'), ('m', 'NN')]","['CCONJ', 'PROPN', 'PUNCT', 'PROPN', 'PART', 'PROPN', 'VERB']",[],1,0,7,0,1
US1676828A,1928-07-10,And thomas r ,"['And', 'thomas', 'r']","[('And', 'CC'), ('thomas', 'VB'), ('r', 'NN')]","['CCONJ', 'PROPN', 'NOUN']",[],1,0,3,0,1
US1676984A,1928-07-10,And fbank w ,"['And', 'fbank', 'w']","[('And', 'CC'), ('fbank', 'NN'), ('w', 'NN')]","['CCONJ', 'VERB', 'PROPN']",[],1,0,3,0,1
US1677818A,1927-01-25,"Up-draft process of and muffle kiln for firing 
     ","['Up-draft', 'process', 'of', 'and', 'muffle', 'kiln', 'for', 'firing']","[('Up-draft', 'JJ'), ('process', 'NN'), ('of', 'IN'), ('and', 'CC'), ('muffle', 'VB'), ('kiln', 'NN'), ('for', 'IN'), ('firing', 'VBG')]","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'CCONJ', 'PROPN', 'NOUN', 'ADP', 'VERB', 'SPACE']",[],1,0,11,0,1
US1680917A,1928-08-14,And stephen m ,"['And', 'stephen', 'm']","[('And', 'CC'), ('stephen', 'VB'), ('m', 'NN')]","['CCONJ', 'PROPN', 'VERB']",[],1,0,3,0,1
US1682385A,1928-08-28,A cdbpobation of cautobnia ,"['A', 'cdbpobation', 'of', 'cautobnia']","[('A', 'DT'), ('cdbpobation', 'NN'), ('of', 'IN'), ('cautobnia', 'NN')]","['DET', 'NOUN', 'ADP', 'PROPN']",[],1,0,4,0,1
US1684933A,1928-09-18,And frank b ,"['And', 'frank', 'b']","[('And', 'CC'), ('frank', 'NN'), ('b', 'NN')]","['CCONJ', 'PROPN', 'X']",[],1,0,3,0,1
US1688998A,1928-10-23,By eose lima ,"['By', 'eose', 'lima']","[('By', 'IN'), ('eose', 'JJ'), ('lima', 'NNS')]","['ADP', 'NOUN', 'PROPN']",[],1,0,3,0,1
US1690258A,1928-11-06,A cobpokaocioir of new jeksby ,"['A', 'cobpokaocioir', 'of', 'new', 'jeksby']","[('A', 'DT'), ('cobpokaocioir', 'NN'), ('of', 'IN'), ('new', 'JJ'), ('jeksby', 'NN')]","['DET', 'NOUN', 'ADP', 'PROPN', 'PROPN']",[],1,0,5,0,1
