patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,is_inventor
US1600332A,1926-09-21,Josef haslauer,"['josef', 'haslauer']","[('Josef', 'NNP'), ('haslauer', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1601067A,1926-09-28,William w,"['william', 'w']","[('William', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1601506A,1926-09-28,George h,"['george', 'h']","[('George', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1601507A,1926-09-28,Gltje,['gltje'],"[('Gltje', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1601549A,1926-09-28,wurtenberg,['wurtenberg'],"[('wurtenberg', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1601579A,1926-09-28,William astle,"['william', 'astle']","[('William', 'NNP'), ('astle', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1601587A,1926-09-28,Maurice,['maurice'],"[('Maurice', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1601804A,1926-10-05,Montgomery w,"['montgomery', 'w']","[('Montgomery', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1602168A,1926-10-05,Hqwasd parker,"['hqwasd', 'parker']","[('Hqwasd', 'NNP'), ('parker', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1602314A,1926-10-05,Dispensing machine,"['dispensing', 'machine']","[('Dispensing', 'VBG'), ('machine', 'NN')]","['VERB', 'NOUN']",['PERSON'],0,1,2,1
US1602347A,1926-10-05,Anthony eustace,"['anthony', 'eustace']","[('Anthony', 'NNP'), ('eustace', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1602501A,1926-10-12,peterson,['peterson'],"[('peterson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1602941A,1926-10-12,Joseph rosman,"['joseph', 'rosman']","[('Joseph', 'NNP'), ('rosman', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1603548A,1926-10-19,Mahlcxkt e,"['mahlcxkt', 'e']","[('Mahlcxkt', 'NNP'), ('e', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1603677A,1926-10-19,Charles francis,"['charles', 'francis']","[('Charles', 'NNP'), ('francis', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1603889A,1926-10-19,Porationi,['porationi'],"[('Porationi', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1603965A,1926-10-19,Bsake,['bsake'],"[('Bsake', 'VB')]",['VERB'],['PERSON'],0,1,1,1
US1603979A,1926-10-19,peiler,['peiler'],"[('peiler', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1604068A,1926-10-19,William h,"['william', 'h']","[('William', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1604611A,1926-10-26,Ray simpson,"['ray', 'simpson']","[('Ray', 'NNP'), ('simpson', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1604999A,1926-11-02,William schmitz,"['william', 'schmitz']","[('William', 'NNP'), ('schmitz', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1605761A,1926-11-02,Harald nielsen,"['harald', 'nielsen']","[('Harald', 'NNP'), ('nielsen', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1605777A,1926-11-02,richardson,['richardson'],"[('richardson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1605788A,1926-11-02,Cotton cleaneb,"['cotton', 'cleaneb']","[('Cotton', 'NNP'), ('cleaneb', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1605795A,1926-11-02,Kotaby hakbow,"['kotaby', 'hakbow']","[('Kotaby', 'NNP'), ('hakbow', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1605803A,1926-11-02,William wilegtts,"['william', 'wilegtts']","[('William', 'NNP'), ('wilegtts', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
