patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1600009A,1922-03-20,Phonograph,['Phonograph'],"[('Phonograph', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600017A,1926-09-14,simosmson,['simosmson'],"[('simosmson', 'NN')]",['PROPN'],[],1,0,1
US1600019A,1922-04-19,Sole,['Sole'],"[('Sole', 'NN')]","['PROPN', 'SPACE']",['ORG'],1,0,2
US1600100A,1922-02-21,Cultivator,['Cultivator'],"[('Cultivator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600106A,1923-08-24,Evaporator,['Evaporator'],"[('Evaporator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600152A,1925-10-15,Padlock,['Padlock'],"[('Padlock', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600164A,1925-07-23,Doorframe,['Doorframe'],"[('Doorframe', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600186A,1925-09-30,Signal,['Signal'],"[('Signal', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600194A,1926-04-19,Toy,['Toy'],"[('Toy', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600196A,1922-07-17,Spool,['Spool'],"[('Spool', 'NN')]","['PROPN', 'SPACE']",['ORG'],1,0,2
US1600205A,1923-08-02,Headlight,['Headlight'],"[('Headlight', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600260A,1923-01-20,Box,['Box'],"[('Box', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600278A,1924-03-07,Belt,['Belt'],"[('Belt', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600279A,1924-06-11,Belt,['Belt'],"[('Belt', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600333A,1926-06-01,Undergarment,['Undergarment'],"[('Undergarment', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600339A,1926-09-21,Arnold xlarwasser,"['Arnold', 'xlarwasser']","[('Arnold', 'NNP'), ('xlarwasser', 'NN')]","['PROPN', 'PROPN']",[],1,0,2
US1600359A,1925-02-06,Doll,['Doll'],"[('Doll', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600368A,1925-12-14,Brush,['Brush'],"[('Brush', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600376A,1924-11-19,Governor,['Governor'],"[('Governor', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600412A,1926-09-21,Chusetts,['Chusetts'],"[('Chusetts', 'NN')]",['PROPN'],['NORP'],1,0,1
US1600422A,1926-01-15,Duplicator,['Duplicator'],"[('Duplicator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600429A,1924-03-15,Buckle,['Buckle'],"[('Buckle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600454A,1924-01-18,Flytrap,['Flytrap'],"[('Flytrap', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600484A,1924-09-20,Furnace,['Furnace'],"[('Furnace', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600489A,1923-11-19,Riffle,['Riffle'],"[('Riffle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600502A,1924-07-25,Doll,['Doll'],"[('Doll', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600569A,1926-09-21,Method,['Method'],"[('Method', 'NN')]",['PROPN'],[],1,0,1
US1600593A,1924-09-27,Toy,['Toy'],"[('Toy', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600633A,1924-12-24,Purse,['Purse'],"[('Purse', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600658A,1924-12-17,Tray,['Tray'],"[('Tray', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600672A,1926-05-03,Brake,['Brake'],"[('Brake', 'VB')]","['PROPN', 'SPACE']",[],1,0,2
US1600673A,1926-09-21,of london,"['of', 'london']","[('of', 'IN'), ('london', 'NN')]","['ADP', 'PROPN']",['GPE'],1,0,2
US1600712A,1923-08-27,Burner,['Burner'],"[('Burner', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600716A,1924-01-18,Vehicle,['Vehicle'],"[('Vehicle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600717A,1924-02-05,Vehicle,['Vehicle'],"[('Vehicle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600724A,1923-11-22,Burner,['Burner'],"[('Burner', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600742A,1925-09-10,Phonograph,['Phonograph'],"[('Phonograph', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600748A,1925-04-22,Clip,['Clip'],"[('Clip', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600769A,1925-06-11,Fastener,['Fastener'],"[('Fastener', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600774A,1923-06-16,Flushometer,['Flushometer'],"[('Flushometer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600783A,1922-10-02,Underreamer,['Underreamer'],"[('Underreamer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600784A,1923-05-17,Evaporator,['Evaporator'],"[('Evaporator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600792A,1924-11-28,Screen,['Screen'],"[('Screen', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600802A,1925-04-23,Necktie,['Necktie'],"[('Necktie', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600810A,1925-10-03,Headwear,['Headwear'],"[('Headwear', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600853A,1924-08-07,Envelope,['Envelope'],"[('Envelope', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600858A,1925-05-01,Weeder,['Weeder'],"[('Weeder', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600879A,1926-03-12,Firecracker,['Firecracker'],"[('Firecracker', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600884A,1926-03-04,Needle,['Needle'],"[('Needle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600888A,1926-09-21,Fltje stop,"['Fltje', 'stop']","[('Fltje', 'NNP'), ('stop', 'NN')]","['PROPN', 'VERB']",[],1,0,2
US1600891A,1924-08-01,Birdcage,['Birdcage'],"[('Birdcage', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600909A,1926-05-18,Hatbox,['Hatbox'],"[('Hatbox', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600918A,1925-11-20,Faucet,['Faucet'],"[('Faucet', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600932A,1920-09-27,Propeller,['Propeller'],"[('Propeller', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600944A,1925-02-04,Heater,['Heater'],"[('Heater', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600975A,1926-01-02,Toothbrush,['Toothbrush'],"[('Toothbrush', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1600976A,1926-09-28,Clarence b,"['Clarence', 'b']","[('Clarence', 'NN'), ('b', 'NN')]","['NOUN', 'PROPN']",[],1,0,2
US1600984A,1923-10-15,Granary,['Granary'],"[('Granary', 'JJ')]","['PROPN', 'SPACE']",[],1,0,2
US1600992A,1926-09-28,Samuel a,"['Samuel', 'a']","[('Samuel', 'NNP'), ('a', 'DT')]","['PROPN', 'PRON']",[],1,0,2
US1601001A,1924-10-04,Clutch,['Clutch'],"[('Clutch', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1601006A,1925-03-25,Container,['Container'],"[('Container', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1601009A,1924-12-27,Governor,['Governor'],"[('Governor', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1601010A,1926-09-28,Philip viviano,"['Philip', 'viviano']","[('Philip', 'NNP'), ('viviano', 'NN')]","['PROPN', 'NOUN']",[],1,0,2
US1601032A,1926-09-28,mcmillan,['mcmillan'],"[('mcmillan', 'NN')]",['PROPN'],[],1,0,1
US1601076A,1924-03-10,Magneto,['Magneto'],"[('Magneto', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1601096A,1925-11-11,Burner,['Burner'],"[('Burner', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1601100A,1922-03-25,Register,['Register'],"[('Register', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
