patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US1600059A,1926-09-14,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1600080A,1924-02-20,tober,['tober'],"[('tober', 'NN')]",['NOUN'],[],0,0,1,0
US1600650A,1926-09-21,Lathe,['Lathe'],"[('Lathe', 'NN')]",['NOUN'],[],0,0,1,0
US1600834A,1926-09-21,mader,['mader'],"[('mader', 'NN')]",['NOUN'],[],0,0,1,0
US1600857A,1926-09-21,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1600980A,1926-09-28,Ratories,['Ratories'],"[('Ratories', 'NNS')]",['NOUN'],[],0,0,1,0
US1601026A,1926-09-28,Scale,['Scale'],"[('Scale', 'NN')]",['NOUN'],[],0,0,1,0
US1601303A,1926-09-28,foersterling,['foersterling'],"[('foersterling', 'VBG')]",['VERB'],[],0,0,1,0
US1601480A,1926-09-28,rollman,['rollman'],"[('rollman', 'NN')]",['NOUN'],[],0,0,1,0
US1601641A,1926-09-28,Bumper,['Bumper'],"[('Bumper', 'IN')]",['NOUN'],[],0,0,1,0
US1602150A,1926-10-05,gartin,['gartin'],"[('gartin', 'NN')]",['VERB'],[],0,0,1,0
US1602205A,1926-10-05,porter,['porter'],"[('porter', 'NN')]",['NOUN'],[],0,0,1,0
US1602373A,1926-10-05,Machines,['Machines'],"[('Machines', 'NNS')]",['NOUN'],[],0,0,1,0
US1602605A,1926-10-12,oiener,['oiener'],"[('oiener', 'NN')]",['NOUN'],[],0,0,1,0
US1603326A,1926-10-19,dement,['dement'],"[('dement', 'NN')]",['NOUN'],[],0,0,1,0
US1603344A,1926-10-19,ljungdajrll,['ljungdajrll'],"[('ljungdajrll', 'NN')]",['ADJ'],[],0,0,1,0
US1603462A,1926-10-19,Purnace,['Purnace'],"[('Purnace', 'NN')]",['NOUN'],[],0,0,1,0
US1603948A,1926-10-19,hazeltine,['hazeltine'],"[('hazeltine', 'NN')]",['VERB'],[],0,0,1,0
US1603964A,1926-10-19,Brakk,['Brakk'],"[('Brakk', 'NN')]",['NOUN'],[],0,0,1,0
US1604042A,1926-10-19,handler,['handler'],"[('handler', 'NN')]",['NOUN'],[],0,0,1,0
US1604608A,1926-10-26,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1605764A,1926-11-02,paiste,['paiste'],"[('paiste', 'NN')]",['VERB'],[],0,0,1,0
US1605775A,1926-11-02,Light,['Light'],"[('Light', 'NN')]",['NOUN'],[],0,0,1,0
US1605792A,1926-11-02,simmons,['simmons'],"[('simmons', 'NNS')]",['NOUN'],[],0,0,1,0
US1605807A,1926-11-02,Valve,['Valve'],"[('Valve', 'VB')]",['VERB'],[],0,0,1,0
US1605833A,1926-11-02,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1605838A,1926-11-02,Intebnai,['Intebnai'],"[('Intebnai', 'NN')]",['ADJ'],[],0,0,1,0
US1605855A,1926-11-02,Assiotob,['Assiotob'],"[('Assiotob', 'NN')]",['VERB'],[],0,0,1,0
US1605878A,1926-11-02,Connection,['Connection'],"[('Connection', 'NN')]",['NOUN'],[],0,0,1,0
US1605880A,1926-11-02,Porated,['Porated'],"[('Porated', 'VBN')]",['VERB'],[],0,0,1,0
US1605883A,1926-11-02,wheelock,['wheelock'],"[('wheelock', 'NN')]",['VERB'],[],0,0,1,0
US1605884A,1926-11-02,District,['District'],"[('District', 'NNP')]",['NOUN'],[],0,0,1,0
US1605890A,1926-11-02,brown,['brown'],"[('brown', 'NN')]",['ADJ'],[],0,0,1,0
US1605892A,1926-11-02,durland,['durland'],"[('durland', 'NN')]",['VERB'],[],0,0,1,0
US1605896A,1926-05-11,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1605913A,1926-11-09,bates,['bates'],"[('bates', 'NNS')]",['NOUN'],[],0,0,1,0
US1605921A,1926-11-09,carpenter,['carpenter'],"[('carpenter', 'NN')]",['NOUN'],[],0,0,1,0
US1605959A,1926-11-09,Massaging,['Massaging'],"[('Massaging', 'VBG')]",['VERB'],[],0,0,1,0
US1605963A,1926-11-09,luger,['luger'],"[('luger', 'NN')]",['NOUN'],[],0,0,1,0
US1605964A,1926-11-09,mapelsden,['mapelsden'],"[('mapelsden', 'NN')]",['ADJ'],[],0,0,1,0
US1605965A,1926-11-09,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1605976A,1926-11-09,osborn,['osborn'],"[('osborn', 'NN')]",['VERB'],[],0,0,1,0
US1605985A,1926-11-09,rasmussen,['rasmussen'],"[('rasmussen', 'NN')]",['VERB'],[],0,0,1,0
US1605987A,1926-11-09,Attorne,['Attorne'],"[('Attorne', 'NN')]",['INTJ'],[],0,0,1,0
US1605990A,1926-11-09,segelken,['segelken'],"[('segelken', 'NN')]",['VERB'],[],0,0,1,0
US1606022A,1926-11-09,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1606023A,1926-11-09,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1606027A,1926-11-09,gruendler,['gruendler'],"[('gruendler', 'NN')]",['NOUN'],[],0,0,1,0
US1606047A,1926-11-09,Hinge,['Hinge'],"[('Hinge', 'NN')]",['INTJ'],[],0,0,1,0
US1606048A,1926-11-09,Hinge,['Hinge'],"[('Hinge', 'NN')]",['INTJ'],[],0,0,1,0
US1606057A,1926-11-09,Snowplow,['Snowplow'],"[('Snowplow', 'NN')]",['VERB'],[],0,0,1,0
US1606070A,1926-11-09,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1606073A,1926-11-09,hebberd,['hebberd'],"[('hebberd', 'NN')]",['NOUN'],[],0,0,1,0
US1606082A,1926-11-09,kirchhoff,['kirchhoff'],"[('kirchhoff', 'NN')]",['VERB'],['ORG'],0,0,1,0
US1606086A,1926-11-09,kruse,['kruse'],"[('kruse', 'NN')]",['VERB'],['ORG'],0,0,1,0
US1606093A,1926-11-09,mohin,['mohin'],"[('mohin', 'NN')]",['VERB'],[],0,0,1,0
US1606120A,1926-11-09,Heater,['Heater'],"[('Heater', 'NN')]",['NOUN'],[],0,0,1,0
US1606206A,1926-11-09,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1606384A,1926-11-09,roberts,['roberts'],"[('roberts', 'NNS')]",['NOUN'],[],0,0,1,0
US1606514A,1926-11-09,Universal,['Universal'],"[('Universal', 'NN')]",['ADJ'],[],0,0,1,0
US1606516A,1926-11-09,Valise,['Valise'],"[('Valise', 'NN')]",['NOUN'],[],0,0,1,0
US1606521A,1926-11-09,Bearing,['Bearing'],"[('Bearing', 'NN')]",['VERB'],[],0,0,1,0
US1606527A,1926-11-09,Perforating,['Perforating'],"[('Perforating', 'VBG')]",['VERB'],[],0,0,1,0
US1606705A,1926-11-09,joannides,['joannides'],"[('joannides', 'NNS')]",['VERB'],[],0,0,1,0
US1606716A,1926-11-09,munyard,['munyard'],"[('munyard', 'NN')]",['NOUN'],[],0,0,1,0
US1606729A,1926-11-09,Press,['Press'],"[('Press', 'NN')]",['NOUN'],[],0,0,1,0
US1607014A,1926-11-16,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1607374A,1926-11-16,warhus,['warhus'],"[('warhus', 'NN')]",['NOUN'],[],0,0,1,0
US1607458A,1926-11-16,Eurhace,['Eurhace'],"[('Eurhace', 'NN')]",['VERB'],[],0,0,1,0
US1607728A,1926-11-23,diskin,['diskin'],"[('diskin', 'NN')]",['NOUN'],[],0,0,1,0
US1607773A,1926-11-23,moody,['moody'],"[('moody', 'NN')]",['ADJ'],[],0,0,1,0
US1607830A,1926-11-23,Carburetor,['Carburetor'],"[('Carburetor', 'NN')]",['NOUN'],[],0,0,1,0
US1608043A,1926-11-23,District,['District'],"[('District', 'NNP')]",['NOUN'],[],0,0,1,0
US1608185A,1926-11-23,ruthven,['ruthven'],"[('ruthven', 'NN')]",['VERB'],[],0,0,1,0
US1608226A,1926-11-23,mauran,['mauran'],"[('mauran', 'NN')]",['NOUN'],[],0,0,1,0
US1608269A,1926-11-23,freund,['freund'],"[('freund', 'NN')]",['VERB'],[],0,0,1,0
US1608384A,1926-11-23,giehler,['giehler'],"[('giehler', 'NN')]",['NOUN'],[],0,0,1,0
US1608436A,1926-11-23,Gabment,['Gabment'],"[('Gabment', 'NN')]",['NOUN'],[],0,0,1,0
US1608519A,1926-11-30,Valve,['Valve'],"[('Valve', 'VB')]",['VERB'],[],0,0,1,0
US1608520A,1926-11-30,System,['System'],"[('System', 'NN')]",['NOUN'],[],0,0,1,0
US1608630A,1926-11-30,Draft,['Draft'],"[('Draft', 'NN')]",['NOUN'],[],0,0,1,0
US1609000A,1926-11-30,schneider,['schneider'],"[('schneider', 'NN')]",['NOUN'],[],0,0,1,0
US1609155A,1926-11-30,catell,['catell'],"[('catell', 'NN')]",['VERB'],[],0,0,1,0
US1609376A,1924-06-30,Textile,['Textile'],"[('Textile', 'NN')]",['NOUN'],[],0,0,1,0
US1609383A,1926-12-07,shangk,['shangk'],"[('shangk', 'NN')]",['ADJ'],[],0,0,1,0
US1609395A,1926-12-07,bailey,['bailey'],"[('bailey', 'NN')]",['NOUN'],[],0,0,1,0
US1609427A,1926-12-07,queneau,['queneau'],"[('queneau', 'NN')]",['NOUN'],[],0,0,1,0
US1609430A,1926-12-07,Sfjkt,['Sfjkt'],"[('Sfjkt', 'NN')]",['NOUN'],[],0,0,1,0
US1609812A,1926-12-07,Underpinning,['Underpinning'],"[('Underpinning', 'VBG')]",['VERB'],[],0,0,1,0
US1609821A,1926-12-07,Awmtbtg,['Awmtbtg'],"[('Awmtbtg', 'NN')]",['NOUN'],[],0,0,1,0
US1609961A,1926-12-07,Tobies,['Tobies'],"[('Tobies', 'NNS')]",['NOUN'],[],0,0,1,0
US1610149A,1926-12-07,Folder,['Folder'],"[('Folder', 'NN')]",['NOUN'],[],0,0,1,0
US1610187A,1926-12-07,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1610207A,1926-12-07,Saxophone,['Saxophone'],"[('Saxophone', 'NN')]",['NOUN'],[],0,0,1,0
US1611145A,1926-12-14,Standard,['Standard'],"[('Standard', 'NN')]",['ADJ'],[],0,0,1,0
US1611237A,1926-12-21,ruthveem,['ruthveem'],"[('ruthveem', 'NN')]",['VERB'],[],0,0,1,0
US1611314A,1926-12-21,weeks,['weeks'],"[('weeks', 'NNS')]",['NOUN'],[],0,0,1,0
US1611543A,1926-12-21,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1611683A,1926-12-21,schurch,['schurch'],"[('schurch', 'NN')]",['ADJ'],[],0,0,1,0
US1611701A,1926-12-21,wilson,['wilson'],"[('wilson', 'NN')]",['NOUN'],['ORG'],0,0,1,0
US1611854A,1926-12-21,damrow,['damrow'],"[('damrow', 'NN')]",['VERB'],[],0,0,1,0
US1611861A,1926-12-21,rushmore,['rushmore'],"[('rushmore', 'NN')]",['NOUN'],[],0,0,1,0
US1612188A,1926-12-28,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1612190A,1926-12-28,hirschler,['hirschler'],"[('hirschler', 'NN')]",['NOUN'],[],0,0,1,0
US1612454A,1926-12-28,luttropp,['luttropp'],"[('luttropp', 'NN')]",['ADJ'],[],0,0,1,0
US1612455A,1926-12-28,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1612527A,1926-12-28,Handlakp,['Handlakp'],"[('Handlakp', 'NN')]",['NOUN'],[],0,0,1,0
US1612658A,1926-12-28,soubier,['soubier'],"[('soubier', 'NN')]",['ADJ'],[],0,0,1,0
US1612688A,1926-12-28,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1612726A,1926-12-28,Poration,['Poration'],"[('Poration', 'NN')]",['NOUN'],[],0,0,1,0
US1612897A,1927-01-04,Thermocouple,['Thermocouple'],"[('Thermocouple', 'NN')]",['PRON'],[],0,0,1,0
US1613182A,1927-01-04,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1613220A,1927-01-04,brown,['brown'],"[('brown', 'NN')]",['ADJ'],[],0,0,1,0
US1613631A,1927-01-11,weiss,['weiss'],"[('weiss', 'NN')]",['VERB'],['ORG'],0,0,1,0
US1613692A,1927-01-11,chase,['chase'],"[('chase', 'NN')]",['NOUN'],[],0,0,1,0
US1613769A,1927-01-11,Calendar,['Calendar'],"[('Calendar', 'NN')]",['NOUN'],[],0,0,1,0
US1614087A,1927-01-11,Bumper,['Bumper'],"[('Bumper', 'IN')]",['NOUN'],[],0,0,1,0
US1614255A,1927-01-11,philbin,['philbin'],"[('philbin', 'NN')]",['VERB'],[],0,0,1,0
US1614569A,1927-01-18,parcells,['parcells'],"[('parcells', 'NNS')]",['VERB'],[],0,0,1,0
US1614692A,1927-01-18,schroeder,['schroeder'],"[('schroeder', 'NN')]",['VERB'],[],0,0,1,0
US1615033A,1927-01-18,fetter,['fetter'],"[('fetter', 'NN')]",['NOUN'],[],0,0,1,0
US1615206A,1927-01-18,Gesellschaft,['Gesellschaft'],"[('Gesellschaft', 'NN')]",['NOUN'],[],0,0,1,0
US1615415A,1927-01-25,tandel,['tandel'],"[('tandel', 'NN')]",['NOUN'],[],0,0,1,0
US1615883A,1927-02-01,Calculator,['Calculator'],"[('Calculator', 'NN')]",['NOUN'],[],0,0,1,0
US1616196A,1927-02-01,Etjrnace,['Etjrnace'],"[('Etjrnace', 'NN')]",['NOUN'],[],0,0,1,0
US1616275A,1927-02-01,olsen,['olsen'],"[('olsen', 'NN')]",['VERB'],[],0,0,1,0
US1616392A,1927-02-01,provost,['provost'],"[('provost', 'NN')]",['VERB'],[],0,0,1,0
US1616633A,1927-02-08,Island,['Island'],"[('Island', 'NN')]",['NOUN'],[],0,0,1,0
US1616737A,1927-02-08,Petee,['Petee'],"[('Petee', 'NN')]",['NOUN'],[],0,0,1,0
US1616754A,1927-02-08,mechau,['mechau'],"[('mechau', 'NN')]",['NOUN'],[],0,0,1,0
US1616918A,1927-02-08,neidich,['neidich'],"[('neidich', 'JJ')]",['ADV'],[],0,0,1,0
US1617266A,1927-02-08,mfinard,['mfinard'],"[('mfinard', 'NN')]",['ADJ'],[],0,0,1,0
US1617652A,1927-02-15,Stethoscope,['Stethoscope'],"[('Stethoscope', 'NN')]",['NOUN'],[],0,0,1,0
US1617939A,1927-02-15,Ventilator,['Ventilator'],"[('Ventilator', 'NN')]",['NOUN'],[],0,0,1,0
US1618041A,1927-02-15,avery,['avery'],"[('avery', 'NN')]",['NOUN'],[],0,0,1,0
US1618106A,1927-02-15,Refrigerator,['Refrigerator'],"[('Refrigerator', 'NN')]",['NOUN'],[],0,0,1,0
US1618250A,1927-02-22,Doorstop,['Doorstop'],"[('Doorstop', 'NN')]",['VERB'],[],0,0,1,0
US1618262A,1927-02-22,barger,['barger'],"[('barger', 'NN')]",['ADJ'],[],0,0,1,0
US1618271A,1927-02-22,cramer,['cramer'],"[('cramer', 'NN')]",['NOUN'],[],0,0,1,0
US1618488A,1927-02-22,stockwell,['stockwell'],"[('stockwell', 'NN')]",['ADJ'],[],0,0,1,0
US1618988A,1927-03-01,Canning,['Canning'],"[('Canning', 'VBG')]",['VERB'],[],0,0,1,0
US1619161A,1926-07-16,Tories,['Tories'],"[('Tories', 'NNS')]",['NOUN'],[],0,0,1,0
US1619230A,1927-03-01,Calculator,['Calculator'],"[('Calculator', 'NN')]",['NOUN'],[],0,0,1,0
US1619438A,1927-03-01,Offic,['Offic'],"[('Offic', 'NN')]",['NOUN'],[],0,0,1,0
