patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US1600031A,1925-06-20,"Teapot, coffeepot, and other pouring vessels provided with loose lids","['Teapot,', 'coffeepot,', 'and', 'other', 'pouring', 'vessels', 'provided', 'with', 'loose', 'lids']","[('Teapot,', 'NNP'), ('coffeepot,', 'NN'), ('and', 'CC'), ('other', 'JJ'), ('pouring', 'NN'), ('vessels', 'NNS'), ('provided', 'VBN'), ('with', 'IN'), ('loose', 'JJ'), ('lids', 'NNS')]","['PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'SPACE']",[],1,0,13,0,0,"{'coffeepot,', 'teapot,'}",1
US1600069A,1926-05-12,Comber board,"['Comber', 'board']","[('Comber', 'NNP'), ('board', 'NN')]","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,{'comber'},1
US1600097A,1925-03-12,Queen bee introducer,"['Queen-bee', 'introducer']","[('Queen-bee', 'JJ'), ('introducer', 'NN')]","['PROPN', 'PUNCT', 'PROPN', 'NOUN', 'SPACE']",[],1,0,5,0,0,{'introducer'},1
US1600113A,1921-10-20,Process of resinifying aliphatic aldehydes,"['Process', 'of', 'resinifying', 'aliphatic', 'aldehydes']","[('Process', 'NN'), ('of', 'IN'), ('resinifying', 'VBG'), ('aliphatic', 'JJ'), ('aldehydes', 'NNS')]","['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'SPACE']",[],1,0,6,0,0,"{'resinifying', 'aldehydes', 'aliphatic'}",1
US1600116A,1922-02-07,Method and means for making spirally wound rolls,"['Method', 'and', 'means', 'for', 'making', 'spirally-wound', 'rolls']","[('Method', 'NNP'), ('and', 'CC'), ('means', 'VBZ'), ('for', 'IN'), ('making', 'VBG'), ('spirally-wound', 'JJ'), ('rolls', 'NNS')]","['PROPN', 'CCONJ', 'VERB', 'ADP', 'VERB', 'ADV', 'PUNCT', 'ADJ', 'NOUN', 'SPACE']",[],1,0,10,0,0,{'spirally'},1
US1600119A,1924-08-02,Apparatus for frictioning or coating fabrics,"['Apparatus', 'for', 'frictioning', 'or', 'coating', 'fabrics']","[('Apparatus', 'NNP'), ('for', 'IN'), ('frictioning', 'VBG'), ('or', 'CC'), ('coating', 'VBG'), ('fabrics', 'NNS')]","['PROPN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'SPACE']",[],1,0,7,0,0,{'frictioning'},1
US1600236A,1923-02-20,Proof press for multicolor work,"['Proof', 'press', 'for', 'multicolor', 'work']","[('Proof', 'NNP'), ('press', 'NN'), ('for', 'IN'), ('multicolor', 'NN'), ('work', 'NN')]","['NOUN', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'SPACE']",[],1,0,6,0,0,{'multicolor'},1
US1600293A,1925-04-14,Method of working upon surfaces of ebonite articles,"['Method', 'of', 'working', 'upon', 'surfaces', 'of', 'ebonite', 'articles']","[('Method', 'NNP'), ('of', 'IN'), ('working', 'VBG'), ('upon', 'IN'), ('surfaces', 'NNS'), ('of', 'IN'), ('ebonite', 'JJ'), ('articles', 'NNS')]","['PROPN', 'ADP', 'VERB', 'SCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SPACE']",[],1,0,9,0,0,{'ebonite'},1
US1600296A,1926-09-21,Anthony o malley,"['Anthony', 'o', 'malley']","[('Anthony', 'NNP'), ('o', 'PRP'), ('malley', 'VBD')]","['PROPN', 'PROPN', 'NOUN']",['ORG'],1,0,3,0,0,{'malley'},1
US1600353A,1922-11-16,Process of constructing culverts or pipes of concrete,"['Process', 'of', 'constructing', 'culverts', 'or', 'pipes', 'of', 'concrete']","[('Process', 'NN'), ('of', 'IN'), ('constructing', 'VBG'), ('culverts', 'NNS'), ('or', 'CC'), ('pipes', 'NNS'), ('of', 'IN'), ('concrete', 'NN')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],1,0,9,0,0,{'culverts'},1
