patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US2300460A,1942-11-03,Garment,['NOUN'],[],0,0,1,0
US2300981A,1942-11-03,skolas,['NOUN'],[],0,0,1,0
US2301651A,1942-11-10,tetreault,['VERB'],[],0,0,1,0
US2301700A,1942-11-10,Rotor,['NOUN'],[],0,0,1,0
US2303536A,1942-12-01,Garment,['NOUN'],[],0,0,1,0
US2304327A,1942-12-08,Calculator,['NOUN'],[],0,0,1,0
US2305118A,1942-12-15,Ketoguanamines,['NOUN'],[],0,0,1,0
US2305546A,1942-12-15,Disinfectant,['NOUN'],[],0,0,1,0
US2305612A,1942-12-22,Transformer,['NOUN'],[],0,0,1,0
US2306824A,1942-12-29,Power,['NOUN'],[],0,0,1,0
US2307166A,1943-01-05,rainer,['NOUN'],[],0,0,1,0
US2307487A,1943-01-05,Recorder,['NOUN'],[],0,0,1,0
US2309536A,1943-01-26,Staple,['NOUN'],[],0,0,1,0
US2310591A,1943-02-09,Refractory,['NOUN'],[],0,0,1,0
US2311167A,1943-02-16,Tampion,['NOUN'],[],0,0,1,0
US2311246A,1943-02-16,Dress,['VERB'],[],0,0,1,0
US2311271A,1943-02-16,Adhesive,['VERB'],[],0,0,1,0
US2315375A,1939-01-04,Sulpho,['NOUN'],[],0,0,1,0
US2315786A,1943-04-06,grobe,['VERB'],[],0,0,1,0
US2317074A,1943-04-20,Blackout,['NOUN'],[],0,0,1,0
US2317908A,1943-04-27,Deodorant,['NOUN'],[],0,0,1,0
US2319746A,1943-05-18,Transmission,['NOUN'],[],0,0,1,0
US2320772A,1943-06-01,Hinge,['INTJ'],[],0,0,1,0
US2320814A,1943-06-01,gushing,['VERB'],[],0,0,1,0
US2322509A,1941-06-18,Screw,['NOUN'],[],0,0,1,0
US2323161A,1943-06-29,stouffer,['VERB'],[],0,0,1,0
US2323916A,1943-07-13,Grate,['NOUN'],[],0,0,1,0
US2324286A,1943-07-13,Derivatives,['NOUN'],[],0,0,1,0
US2325546A,1943-07-27,Carburetor,['NOUN'],[],0,0,1,0
US2325761A,1943-08-03,Calculator,['NOUN'],[],0,0,1,0
US2325835A,1943-08-03,Stabilizer,['NOUN'],[],0,0,1,0
US2326688A,1941-01-31,sasso,['NOUN'],[],0,0,1,0
US2326919A,1943-08-17,Mathraginukks,['ADJ'],[],0,0,1,0
