patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts
US2429097A,1945-02-09,"N,n'-dithiodimorpholine as a fungicide","['CCONJ', 'PUNCT', 'PROPN', 'ADP', 'DET', 'NOUN']",['GPE'],1,0,7,"[""n,n'-dithiodimorpholine"", 'as', 'a', 'fungicide']",0,1
US2433253A,1944-05-09,By-product coke oven wall construction,"['ADP', 'PUNCT', 'NOUN', 'X', 'PROPN', 'PROPN', 'PROPN']",[],1,0,8,"['by-product', 'coke', 'oven', 'wall', 'construction']",0,1
US2438200A,1946-03-04,"N, n'-bis (3-diethylaminopropylamide) of dibasic aliphatic acids","['CCONJ', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADJ', 'NOUN']",['CARDINAL'],1,0,13,"['n,', ""n'-bis"", '(3-diethylaminopropylamide)', 'of', 'dibasic', 'aliphatic', 'acids']",0,1
US2445024A,1945-01-25,Weft cutter on multishuttle box looms,"['ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'VERB']",['ORG'],1,0,7,"['weft', 'cutter', 'on', 'multishuttle', 'box', 'looms']",0,1
US2458480A,1947-07-03,By-product coke oven,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'PROPN']",[],1,0,6,"['by-product', 'coke', 'oven']",0,1
US2478367A,1944-11-11,"N, n'-alkylenecyanine dyes","['CCONJ', 'PUNCT', 'PROPN', 'VERB']",[],1,0,5,"['n,', ""n'-alkylenecyanine"", 'dyes']",0,1
US2405497A,1944-05-13,Over and under scale,"['ADP', 'CCONJ', 'ADP', 'NOUN']",[],0,0,5,"['over', 'and', 'under', 'scale']",0,1
US2405515A,1944-09-23,Amplifier coupling device,"['ADP', 'NOUN', 'NOUN']",['PERSON'],0,1,4,"['amplifier', 'coupling', 'device']",0,1
US2407453A,1944-05-18,Off-peak hot-water heater,"['ADP', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,8,"['off-peak', 'hot-water', 'heater']",0,1
US2415793A,1947-02-11,And process of,"['CCONJ', 'NOUN', 'ADP']",[],0,0,3,"['and', 'process', 'of']",0,1
US2416000A,1944-07-17,Hf alkylation of hydrocarbons in the presence of tempering agents,"['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN']",[],0,0,11,"['hf', 'alkylation', 'of', 'hydrocarbons', 'in', 'the', 'presence', 'of', 'tempering', 'agents']",0,1
US2420083A,1945-03-14,Inside locking latch construction,"['ADP', 'VERB', 'NOUN', 'NOUN']",[],0,0,5,"['inside', 'locking', 'latch', 'construction']",0,1
US2420256A,1944-10-14,Shackle,['ADP'],[],0,0,2,['shackle'],0,1
US2424530A,1946-04-02,Throwout bearing,"['ADP', 'VERB']",[],0,0,3,"['throwout', 'bearing']",0,1
US2424893A,1944-04-24,Amplifier circuits,"['ADP', 'NOUN']",['PERSON'],0,1,3,"['amplifier', 'circuits']",0,1
US2430699A,1944-12-28,Amplifier gain control,"['ADP', 'NOUN', 'NOUN']",['PERSON'],0,1,4,"['amplifier', 'gain', 'control']",0,1
US2431151A,1940-08-28,Amplifier circuits,"['ADP', 'NOUN']",['PERSON'],0,1,3,"['amplifier', 'circuits']",0,1
US2431886A,1941-06-13,Over-current and under-current protective switch,"['ADP', 'PUNCT', 'ADJ', 'CCONJ', 'ADP', 'PUNCT', 'ADJ', 'ADJ', 'NOUN']",[],0,0,10,"['over-current', 'and', 'under-current', 'protective', 'switch']",0,1
US2432171A,1945-06-30,Weft detecting system for looms,"['ADP', 'VERB', 'NOUN', 'ADP', 'NOUN']",[],0,0,6,"['weft', 'detecting', 'system', 'for', 'looms']",0,1
US2432281A,1945-12-04,Hf alkylation,"['ADP', 'NOUN']",[],0,0,3,"['hf', 'alkylation']",0,1
US2435250A,1944-02-25,Inside scanning facsimile recorder,"['ADP', 'VERB', 'ADJ', 'NOUN']",[],0,0,5,"['inside', 'scanning', 'facsimile', 'recorder']",0,1
US2435336A,1944-08-09,Shackle,['ADP'],[],0,0,2,['shackle'],0,1
US2445477A,1945-03-12,Ampoule,['ADP'],[],0,0,2,['ampoule'],0,1
US2446293A,1944-12-27,By-pass for rotary mud screens,"['ADP', 'PUNCT', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN']",[],0,0,8,"['by-pass', 'for', 'rotary', 'mud', 'screens']",0,1
US2446747A,1947-04-02,Weft detecting system for convertible looms,"['ADP', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],0,0,7,"['weft', 'detecting', 'system', 'for', 'convertible', 'looms']",0,1
US2454297A,1944-12-08,By-passing valve for oil temperature control units,"['ADP', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",[],0,0,10,"['by-passing', 'valve', 'for', 'oil', 'temperature', 'control', 'units']",0,1
US2456486A,1946-01-02,Inside storm window,"['ADP', 'NOUN', 'NOUN']",[],0,0,4,"['inside', 'storm', 'window']",0,1
US2456567A,1944-09-01,Aminotriazine product,"['ADP', 'NOUN']",[],0,0,3,"['aminotriazine', 'product']",0,1
