patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US2700007A,1952-08-15,Method and apparatus for shaping a plastic interlayer for a curved laminated windshield,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'VERB', 'NOUN']",[],1,0,14,0,0,{'interlayer'},1
US2700016A,1950-11-27,Distillation of high boiling hydrocarbons and products therefrom,"['PROPN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],1,0,9,0,0,{'therefrom'},1
US2700023A,1951-03-10,Process of making molded ceramic ferromagnetic products,"['PROPN', 'ADP', 'VERB', 'VERB', 'ADJ', 'ADJ', 'NOUN']",[],1,0,8,0,0,{'ferromagnetic'},1
US2700027A,1951-04-12,Polymeric compositions of acrylonitrile and chloro allyl tertiary amine,"['ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'NOUN']",['ORDINAL'],1,0,12,0,0,"{'polymeric', 'allyl', 'chloro', 'amine', 'acrylonitrile'}",1
US2700029A,1949-12-31,Process using vinyl hydroquin one polymers,"['NOUN', 'VERB', 'NOUN', 'PROPN', 'NUM', 'NOUN']",[],1,0,7,0,0,{'hydroquin'},1
US2700037A,1949-05-03,Process for the manufacture of monoacyl acetyl compounds of primary amines,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],1,0,12,0,0,"{'acetyl', 'amines', 'monoacyl'}",1
US2700038A,1951-09-27,Dibasic salts of adenosine triphosphate and method of preparation,"['PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN']",[],1,0,10,0,0,"{'dibasic', 'triphosphate'}",1
US2700039A,1952-02-07,Penicillin salts of nu phenylurethanes,"['PROPN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,7,0,0,{'phenylurethanes'},1
US2700046A,1949-10-26,"Sodium 4, 4' bis (3, 4 methylenedioxy benzoylamino) stilbene 2, 2' disulfonate","['PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM']","['CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL']",1,0,14,0,0,"{'disulfonate', 'stilbene', '4,', 'methylenedioxy', '(3,', 'benzoylamino)', ""4'"", '2,', ""2'""}",1
US2700056A,1949-08-03,Procerss for producing guanidine thiocyanate,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],1,0,6,0,0,"{'guanidine', 'thiocyanate', 'procerss'}",1
US2700058A,1950-01-19,Purification of a crude c14 aldehyde,"['NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PROPN']",[],1,0,7,0,0,"{'c14', 'aldehyde'}",1
US2700060A,1953-03-23,Method of recovering paranitrochlorobenzene,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,5,0,0,{'paranitrochlorobenzene'},1
US2700061A,1950-12-04,Method of preparing adsorbent material and using it for selectively adsorbing aromatic hydrocarbons,"['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'PRON', 'ADP', 'ADV', 'VERB', 'ADJ', 'NOUN']",[],1,0,14,0,0,"{'adsorbent', 'adsorbing'}",1
US2700067A,1952-03-05,Apparatus for magnetically storing teleprinter signals,"['PROPN', 'ADP', 'ADV', 'VERB', 'NOUN', 'NOUN']",[],1,0,7,0,0,{'teleprinter'},1
US2700138A,1950-03-14,Wave guide rotatable joint,"['PROPN', 'NOUN', 'ADJ', 'ADJ']",[],1,0,5,0,0,{'rotatable'},1
US2700140A,1953-06-26,"Shielded, multiconductor waterproof connector","['ADJ', 'PUNCT', 'NOUN', 'PROPN', 'PROPN']",[],1,0,6,0,0,"{'multiconductor', 'shielded,'}",1
US2700142A,1951-12-26,Cord splicer,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'splicer'},1
US2700160A,1950-09-05,"Swim suit and brassiere structure, particularly for swim suits","['ADJ', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'PUNCT', 'ADV', 'ADP', 'ADJ', 'NOUN']",[],1,0,11,0,0,"{'structure,'}",1
US2700177A,1954-03-29,Method and apparatus for making fiberboard with prepressed margins,"['PROPN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN']",[],1,0,10,0,0,"{'prepressed', 'fiberboard'}",1
US2700199A,1952-04-01,Deadend yoke,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'deadend'},1
US2700200A,1952-04-01,Deadend and yoke therefor,"['PROPN', 'CCONJ', 'NOUN', 'ADP']",[],1,0,5,0,0,{'deadend'},1
US2700221A,1946-01-08,Hyperbolograph instrument,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'hyperbolograph'},1
US2700231A,1953-08-11,Beaded shoe welting,"['PROPN', 'NOUN', 'VERB']",[],1,0,4,0,0,{'welting'},1
US2700249A,1951-11-26,Combination maraca and beverage receptacle,"['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN']",[],1,0,6,0,0,{'maraca'},1
US2700297A,1950-02-25,Drawbar for skid test dynamometers,"['PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN']",[],1,0,6,0,0,"{'drawbar', 'dynamometers'}",1
US2700299A,1951-04-11,Vacuum operated hydrometer,"['PROPN', 'VERB', 'NOUN']",[],1,0,4,0,0,{'hydrometer'},1
US2700314A,1949-08-04,Knurling apparatus,"['PROPN', 'NOUN']",[],1,0,3,0,0,{'knurling'},1
US2700324A,1949-04-12,Method of hobbing,"['PROPN', 'ADP', 'VERB']",[],1,0,4,0,0,{'hobbing'},1
