patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US3101022A,1963-08-20,baschet,['NOUN'],[],0,0,1,['baschet'],0
US3101347A,1963-08-20,Jllcc,['NOUN'],[],0,0,1,['jllcc'],0
US3101818A,1963-08-27,figures,['NOUN'],[],0,0,1,['figures'],0
US3101987A,1963-08-27,sanders,['NOUN'],[],0,0,1,['sanders'],0
US3102118A,1963-08-27,-chzchj,['NOUN'],[],0,0,1,['-chzchj'],0
US3102161A,1963-08-27,raisbeck,['VERB'],[],0,0,1,['raisbeck'],0
US3103309A,1963-09-10,englund,['NOUN'],[],0,0,1,['englund'],0
US3103396A,1963-09-10,portnoy,['VERB'],[],0,0,1,['portnoy'],0
US3103412A,1963-09-10,Filter,['NOUN'],[],0,0,1,['filter'],0
US3103438A,1963-09-10,Water,['NOUN'],[],0,0,1,['water'],0
US3103454A,1957-10-01,Paocsssl,['ADJ'],[],0,0,1,['paocsssl'],0
US3103460A,1963-09-10,Picket,['NOUN'],[],0,0,1,['picket'],0
US3103485A,1960-02-12,Temperature,['NOUN'],[],0,0,1,['temperature'],0
US3103507A,1963-09-10,Chjoh,['NOUN'],[],0,0,1,['chjoh'],0
US3103520A,1963-09-10,Aminobenzoxacycloalkanes,['NOUN'],[],0,0,1,['aminobenzoxacycloalkanes'],0
US3103524A,1963-09-10,Ratetraene-,['X'],[],0,0,1,['ratetraene-'],0
US3103546A,1963-09-10,Photorefractometer,['ADV'],[],0,0,1,['photorefractometer'],0
US3103547A,1963-09-10,ansley,['NOUN'],[],0,0,1,['ansley'],0
US3103555A,1963-09-10,sweeney,['NOUN'],[],0,0,1,['sweeney'],0
US3103558A,1959-09-24,ligotky,['NOUN'],[],0,0,1,['ligotky'],0
US3103561A,1963-09-10,chesler,['NOUN'],[],0,0,1,['chesler'],0
US3103575A,1963-09-10,pecci,['NOUN'],[],0,0,1,['pecci'],0
US3103578A,1963-09-10,dietrich,['NUM'],[],0,0,1,['dietrich'],0
US3103596A,1963-09-10,skerritt,['VERB'],[],0,0,1,['skerritt'],0
US3103611A,1963-09-10,hooper,['NOUN'],[],0,0,1,['hooper'],0
US3104055A,1963-09-17,Maier,['NOUN'],[],0,0,1,['maier'],0
US3104107A,1963-09-17,powers,['NOUN'],[],0,0,1,['powers'],0
US3104722A,1963-09-24,feland,['NOUN'],['GPE'],0,0,1,['feland'],0
US3104725A,1963-09-24,buchele,['X'],['GPE'],0,0,1,['buchele'],0
US3104728A,1963-09-24,hadley,['NOUN'],[],0,0,1,['hadley'],0
US3104733A,1963-09-24,Ludlow,['VERB'],[],0,0,1,['ludlow'],0
US3104743A,1963-09-24,reynolds,['NOUN'],['ORG'],0,0,1,['reynolds'],0
US3104753A,1963-09-24,osborne,['ADJ'],[],0,0,1,['osborne'],0
US3104769A,1963-09-24,phillips,['NOUN'],[],0,0,1,['phillips'],0
US3104771A,1963-09-24,stilley,['NOUN'],[],0,0,1,['stilley'],0
US3104773A,1963-09-24,Closures,['NOUN'],[],0,0,1,['closures'],0
US3104775A,1963-09-24,Champagnat,['NOUN'],[],0,0,1,['champagnat'],0
US3104779A,1963-09-24,denzer,['NOUN'],[],0,0,1,['denzer'],0
US3104794A,1963-09-24,Cartons,['NOUN'],[],0,0,1,['cartons'],0
US3104798A,1963-09-24,stone,['NOUN'],[],0,0,1,['stone'],0
US3104810A,1963-09-24,Input,['NOUN'],[],0,0,1,['input'],0
US3104811A,1963-09-24,Maier,['NOUN'],[],0,0,1,['maier'],0
US3104825A,1963-09-24,hayes,['NOUN'],[],0,0,1,['hayes'],0
US3104836A,1963-09-24,meyers,['NOUN'],[],0,0,1,['meyers'],0
US3104846A,1963-09-24,ringle,['VERB'],[],0,0,1,['ringle'],0
US3104851A,1963-09-24,Portal,['ADJ'],[],0,0,1,['portal'],0
US3104856A,1963-09-24,Parachute,['VERB'],[],0,0,1,['parachute'],0
US3104869A,1963-09-24,Mixers,['NOUN'],[],0,0,1,['mixers'],0
US3104889A,1963-09-24,branch,['NOUN'],[],0,0,1,['branch'],0
US3104907A,1963-09-24,Seewalt,['NOUN'],[],0,0,1,['seewalt'],0
US3105664A,1963-10-01,poradun,['VERB'],[],0,0,1,['poradun'],0
US3106341A,1963-10-08,Maieretal,['ADJ'],[],0,0,1,['maieretal'],0
US3108095A,1963-10-22,Renner,['NOUN'],[],0,0,1,['renner'],0
US3108097A,1963-10-22,Ehnojs,['VERB'],[],0,0,1,['ehnojs'],0
US3108461A,1963-10-29,Zahradka,['ADJ'],[],0,0,1,['zahradka'],0
US3108743A,1963-10-29,naugle,['VERB'],[],0,0,1,['naugle'],0
US3108746A,1963-10-29,chrisler,['VERB'],[],0,0,1,['chrisler'],0
US3111889A,1963-11-26,Quednow,['ADV'],['GPE'],0,0,1,['quednow'],0
US3112309A,1963-11-26,Acids,['NOUN'],[],0,0,1,['acids'],0
US3112464A,1963-11-26,Figure,['VERB'],[],0,0,1,['figure'],0
US3113036A,1963-12-03,Baked,['ADJ'],[],0,0,1,['baked'],0
US3113721A,1963-12-10,Maier,['NOUN'],[],0,0,1,['maier'],0
US3116713A,1964-01-07,darling,['VERB'],[],0,0,1,['darling'],0
US3116738A,1964-01-07,Wentges,['NOUN'],[],0,0,1,['wentges'],0
US3117505A,1964-01-14,Weller,['NOUN'],[],0,0,1,['weller'],0
US3118239A,1964-01-21,suits,['NOUN'],[],0,0,1,['suits'],0
US3118242A,1964-01-21,snyder,['NOUN'],[],0,0,1,['snyder'],0
US3118248A,1964-01-21,chirhart,['VERB'],[],0,0,1,['chirhart'],0
US3118265A,1964-01-21,shaver,['VERB'],[],0,0,1,['shaver'],0
US3118285A,1964-01-21,Thermo-,['X'],[],0,0,1,['thermo-'],0
US3118306A,1961-01-06,Pipette,['NOUN'],[],0,0,1,['pipette'],0
US3118313A,1964-01-21,Carroll,['NOUN'],[],0,0,1,['carroll'],0
US3118314A,1964-01-21,schuster,['NOUN'],[],0,0,1,['schuster'],0
US3118315A,1964-01-21,Loosli,['NOUN'],[],0,0,1,['loosli'],0
US3118338A,1964-01-21,barley,['NOUN'],[],0,0,1,['barley'],0
US3118355A,1964-01-21,proud,['ADJ'],[],0,0,1,['proud'],0
US3118357A,1964-01-21,beattie,['NOUN'],[],0,0,1,['beattie'],0
US3118363A,1964-01-21,burgess,['NOUN'],[],0,0,1,['burgess'],0
US3118372A,1964-01-21,weeks,['NOUN'],[],0,0,1,['weeks'],0
US3118374A,1964-01-21,Agent,['NOUN'],[],0,0,1,['agent'],0
US3118400A,1964-01-21,Pallet,['NOUN'],[],0,0,1,['pallet'],0
US3119837A,1961-01-31,Curve,['NOUN'],[],0,0,1,['curve'],0
US3119859A,1964-01-28,Alpha,['NOUN'],[],0,0,1,['alpha'],0
US3122556A,1964-02-25,-phenoxyalkyl,['NOUN'],[],0,0,1,['-phenoxyalkyl'],0
US3122909A,1964-03-03,mccarthy,['NOUN'],[],0,0,1,['mccarthy'],0
US3122911A,1961-09-25,Refrigerated,['VERB'],[],0,0,1,['refrigerated'],0
US3122914A,1958-04-15,Viscometers,['NOUN'],[],0,0,1,['viscometers'],0
US3122916A,1964-03-03,Sedlacek,['NOUN'],[],0,0,1,['sedlacek'],0
US3122920A,1964-03-03,murphey,['NOUN'],[],0,0,1,['murphey'],0
US3122924A,1964-03-03,Manometer,['NOUN'],[],0,0,1,['manometer'],0
