patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US3607945A,1968-12-04,Hydrocarbylthioalkanethiols,['PROPN'],['PERSON'],1,1,2,['hydrocarbylthioalkanethiols'],1
US3608376A,1969-06-17,Xeritron,['PROPN'],['PERSON'],1,1,2,['xeritron'],1
US3642821A,1969-11-03,Tetrahydropyrrolobenzodiazepines,['NOUN'],['PERSON'],0,1,2,['tetrahydropyrrolobenzodiazepines'],1
US3647238A,1969-12-15,Handtruck,['PROPN'],['PERSON'],1,1,2,['handtruck'],1
US3651220A,1968-04-17,Rugulovasine,['PROPN'],['PERSON'],1,1,2,['rugulovasine'],1
US3665405A,1970-03-17,Multiplexer,['PROPN'],['PERSON'],1,1,2,['multiplexer'],1
US3676438A,1969-10-15,Desacetylaranotin,['PROPN'],['PERSON'],1,1,2,['desacetylaranotin'],1
US3678076A,1970-12-21,Tetrahydrodibenzothiophenes,['NOUN'],['PERSON'],0,1,2,['tetrahydrodibenzothiophenes'],1
US3678272A,1971-03-18,Spectrophosphorimeter,['NOUN'],['PERSON'],0,1,2,['spectrophosphorimeter'],1
US3693178A,1970-04-29,Colorscanner,['NOUN'],['PERSON'],0,1,2,['colorscanner'],1
