patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US3900828A,1974-07-26,On-board tire strut fault apparatus for aircraft and the like,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'DET', 'ADJ']",[],1,0,13,0,1
US3904955A,1973-12-26,In-car spark plug checker,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'PROPN', 'NOUN']",[],1,0,7,0,1
US3915234A,1974-08-28,In situ production of hydrocarbon values from oil shale using H{HD 2{B S and CO{HD 2{B,"['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'NOUN', 'NUM']",['PRODUCT'],1,0,17,0,1
US3930404A,1973-06-21,"Inside diameter, outside diameter and wall tube gage","['ADP', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PROPN', 'VERB']",[],1,0,10,0,1
US3932821A,1974-11-08,Out of lock detector for phase lock loop synthesizer,"['ADP', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'PROPN']",[],1,0,10,0,1
US3943408A,1974-05-28,Over-voltage protection circuit for wye connected electric machine,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'VERB', 'ADJ', 'NOUN']",[],1,0,11,0,1
US3944552A,1972-06-26,"N,N'-bisimidothio-diamines","['CCONJ', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN']","['GPE', 'GPE']",1,0,6,0,1
US3945973A,1974-05-03,"N,N'-Diglycidyl-N,N'-dialkyl aryl disulfonamides","['CCONJ', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'VERB']",['GPE'],1,0,10,0,1
US3956672A,1974-03-13,In line rectifier assembly,"['ADP', 'NOUN', 'ADJ', 'PROPN']",[],1,0,5,0,1
US3966533A,1973-04-19,On-site wall structure formation,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PROPN']",[],1,0,7,0,1
US3972911A,1973-07-26,"N,N'(Cyano-phenylene)dioxamic acids and esters","['CCONJ', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'CCONJ', 'NOUN']",[],1,0,9,0,1
US3974279A,1973-06-15,"N,N'-bis-(6-amino)-4,4-hexamethylenediamino quinaldine dihydrochloride as an anti-L-1210 lymphoid and P388 lymphocytic leukemia agent","['CCONJ', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'PROPN', 'ADJ', 'NOUN', 'NOUN']",['ORG'],1,0,21,0,1
US3975320A,1973-05-11,By-product gypsum fillers for mica-free joint compounds consisting of synthetic calcium sulphate dihydrate having a mean particle size of 11 or 12 microns,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'CCONJ', 'NUM', 'NOUN']",['CARDINAL'],1,0,28,0,1
US3983600A,1976-02-20,By-passing door fascia assembly,"['ADP', 'PUNCT', 'VERB', 'NOUN', 'PROPN', 'PROPN']",[],1,0,7,0,1
US3986196A,1975-06-30,Through-substrate source contact for microwave FET,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PROPN']",['ORG'],1,0,9,0,1
US3992611A,1975-04-21,Plus five and invert algorithm,"['CCONJ', 'NUM', 'CCONJ', 'NOUN', 'PROPN']",['CARDINAL'],1,0,6,0,1
US3900436A,1971-06-11,Polyesteramide resin,"['ADP', 'NOUN']",[],0,0,3,0,1
US3908455A,1974-07-30,In-bore optical telemetry system,"['ADP', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",[],0,0,7,0,1
US3908897A,1972-12-21,Off-line integration of bridge and boiler controls,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB']",[],0,0,10,0,1
US3909855A,1974-11-12,Below-the-knee prosthesis,"['ADP', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,7,0,1
US3909950A,1972-11-13,Inside gauge of the type having moving arms and direct contact feelers used to check the sizes of mechanical workpieces during their machining on machine tools,"['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'ADP', 'NOUN', 'NOUN']",[],0,0,27,0,1
US3910352A,1972-09-25,In-tubing safety valve well tool,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'ADV', 'NOUN']",[],0,0,8,0,1
US3910464A,1974-08-01,In-tank fuel pump support unit and assembly,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN']",[],0,0,10,0,1
US3911732A,1974-07-29,Off center loading compensation for multiple actuator vibration table,"['ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",[],0,0,10,0,1
US3911901A,1974-07-24,In vivo hydrogen ion sensor,"['ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",[],0,0,6,0,1
US3912507A,1973-06-04,Polyrhodanine photoconductive materials,"['ADP', 'ADJ', 'NOUN']",[],0,0,4,0,1
US3913428A,1975-01-27,Off-set nut runner with open-end access and socket-like drive capability,"['ADP', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN']",[],0,0,17,0,1
US3914134A,1974-08-01,Through-the-partition battery connections,"['ADP', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,8,0,1
US3914556A,1974-06-12,On-hook and off-hook detector for telephone switching systems,"['ADP', 'PUNCT', 'NOUN', 'CCONJ', 'ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN']",[],0,0,13,0,1
US3914786A,1974-04-19,In-line reflective lead-pair for light-emitting diodes,"['ADP', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,13,0,1
US3915156A,1974-02-15,Polygraph including a cardiograph with dicrotic notch enhancement,"['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN']",[],0,0,9,0,1
US3915266A,1975-01-27,In axle wheel speed sensor for anti-skid brake control,"['ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'NOUN']",[],0,0,12,0,1
US3915395A,1971-10-01,Over and out material reducer,"['ADP', 'CCONJ', 'ADP', 'NOUN', 'NOUN']",[],0,0,6,0,1
US3916649A,1974-04-10,Weft inserting apparatus for a warp knitting machine,"['ADP', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN']",['ORG'],0,0,9,0,1
US3917306A,1974-02-07,Off-the-road vehicle,"['ADP', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,7,0,1
US3917344A,1974-08-22,In situ retorting system,"['ADP', 'ADJ', 'VERB', 'NOUN']",[],0,0,5,0,1
US3918370A,1974-02-05,Through sill for railway cars,"['ADP', 'ADJ', 'ADP', 'NOUN', 'NOUN']",[],0,0,6,0,1
US3920971A,1974-03-28,Off-line tool gage,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,6,0,1
US3922143A,1973-07-25,Polycarbodiimide treatments,"['ADP', 'NOUN']",[],0,0,3,0,1
US3922477A,1971-08-30,Through-wall conductor seal,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN']",[],0,0,6,0,1
US3922907A,1974-06-12,In-bore turbine inspection device,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",[],0,0,7,0,1
US3923158A,1973-06-20,On-line multistation inspection device for machine moulded products,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN']",[],0,0,11,0,1
US3924159A,1974-10-04,Amplifier protection system,"['ADP', 'NOUN', 'NOUN']",['PERSON'],0,1,4,0,1
US3924832A,1974-09-27,In-line control valve,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB']",[],0,0,6,0,1
US3927579A,1974-03-14,Down shift inhibitor system for automatic transmission control,"['ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN']",[],0,0,9,0,1
US3927593A,1973-12-28,After-control signal detecting sensor for keyboard of electronic musical instrument,"['ADP', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN']",[],0,0,13,0,1
US3930044A,1972-11-21,In situ production of meat like flavor in expanded porous food product,"['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'NOUN']",[],0,0,13,0,1
