patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts,misspelt_words,misspelt
US500002A,1893-06-20,Abraham jacobson and james jacobson,"['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']","['PERSON', 'PERSON']",1,1,5,"['abraham', 'jacobson', 'and', 'james', 'jacobson']",0,0,{'jacobson'},1
US500021A,1893-06-20,Half to selman u,"['NOUN', 'PART', 'VERB', 'PROPN']",['CARDINAL'],1,0,4,"['half', 'to', 'selman', 'u']",0,0,{'selman'},1
US500035A,1893-06-20,Carl august pfenning,"['PROPN', 'PROPN', 'NOUN']","['PERSON', 'DATE']",1,1,3,"['carl', 'august', 'pfenning']",0,0,{'pfenning'},1
US500037A,1893-06-20,Workman s time recorder,"['PROPN', 'PART', 'NOUN', 'PUNCT', 'NOUN']",['PERSON'],1,1,5,"['workman', 's', 'time-recorder']",0,0,{'s'},1
US500088A,1893-06-20,Tieths to william b,"['NOUN', 'PART', 'PROPN', 'PROPN']",['PERSON'],1,1,4,"['tieths', 'to', 'william', 'b']",0,0,"{'b', 'tieths'}",1
US500096A,1893-06-20,Half to andrew l,"['NOUN', 'PART', 'PROPN', 'PROPN']","['CARDINAL', 'PERSON']",1,1,4,"['half', 'to', 'andrew', 'l']",0,0,{'l'},1
US500106A,1893-06-20,Holder for cu rling irons,"['NOUN', 'ADP', 'PROPN', 'NOUN', 'PUNCT', 'NOUN']",['ORG'],1,0,6,"['holder', 'for', 'cu', 'rling-irons']",0,0,{'rling'},1
US500130A,1893-06-27,Gibbard richard hughes,"['PROPN', 'PROPN', 'VERB']",['PERSON'],1,1,3,"['gibbard', 'richard', 'hughes']",0,0,{'gibbard'},1
US500206A,1893-06-27,Edwin stanley hoare,"['PROPN', 'PROPN', 'NOUN']",['PERSON'],1,1,3,"['edwin', 'stanley', 'hoare']",0,0,{'hoare'},1
US500237A,1893-06-27,Charles joseph leroux and jules henri fischbach,"['PROPN', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,7,"['charles', 'joseph', 'leroux', 'and', 'jules', 'henri', 'fischbach']",0,0,"{'leroux', 'fischbach'}",1
US500239A,1893-06-27,Plumber s portable furnace,"['PROPN', 'PART', 'ADJ', 'NOUN']",[],1,0,4,"['plumber', 's', 'portable', 'furnace']",0,0,{'s'},1
US500246A,1893-06-27,Guano distributer,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,['guano-distributer'],0,0,{'distributer'},1
US500251A,1893-06-27,Pictc ip a t,"['PROPN', 'VERB', 'DET', 'NOUN']",['GPE'],1,0,4,"['pictc', 'ip', 'a', 't']",0,0,"{'pictc', 't'}",1
US500305A,1893-06-27,Process of malting,"['PROPN', 'ADP', 'VERB']",[],1,0,3,"['process', 'of', 'malting']",0,0,{'malting'},1
US500327A,1893-06-27,Charles ferdinand geter,"['PROPN', 'VERB', 'ADV']",[],1,0,3,"['charles', 'ferdinand', 'geter']",0,0,{'geter'},1
US500334A,1893-06-27,Robert law and robert j,"['PROPN', 'NOUN', 'CCONJ', 'PROPN', 'PROPN']","['PERSON', 'PERSON']",1,1,5,"['robert', 'law', 'and', 'robert', 'j']",0,0,{'j'},1
US500401A,1893-06-27,Feiedrich august lehmann,"['PROPN', 'PROPN', 'NOUN']",['DATE'],1,0,3,"['feiedrich', 'august', 'lehmann']",0,0,"{'feiedrich', 'lehmann'}",1
US500410A,1893-06-27,Furnace for annealing wire,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4,"['furnace', 'for', 'annealing', 'wire']",0,0,{'annealing'},1
