patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US600066A,1898-03-01,Bett,['PROPN'],['PERSON'],1,1,1,['bett'],1
US600067A,1898-03-01,Adolph geiger,"['ADJ', 'NOUN']",['PERSON'],0,1,2,"['adolph', 'geiger']",1
US600069A,1898-03-01,Iieinrich gohrig,"['NOUN', 'VERB']",['PERSON'],0,1,2,"['iieinrich', 'gohrig']",1
US600080A,1898-03-01,William j,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'j']",1
US600095A,1898-03-01,Charles smith,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['charles', 'smith']",1
US600100A,1898-03-01,George f,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['george', 'f']",1
US600106A,1898-03-01,Joshua h,"['PROPN', 'X']",['PERSON'],1,1,2,"['joshua', 'h']",1
US600118A,1898-03-01,Charles,['PROPN'],['PERSON'],1,1,2,['charles'],1
US600122A,1898-03-01,Charles f,"['PROPN', 'X']",['PERSON'],1,1,2,"['charles', 'f']",1
US600125A,1898-03-01,Samuel w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['samuel', 'w']",1
US600137A,1898-03-08,George craig,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['george', 'craig']",1
US600150A,1898-03-08,Arthur heine,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['arthur', 'heine']",1
US600161A,1898-03-08,William h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'h']",1
US600179A,1898-03-08,John f,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'f']",1
US600230A,1898-03-08,Abraham martin,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['abraham', 'martin']",1
US600235A,1898-03-08,John w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'w']",1
US600246A,1898-03-08,Frederick grinnell,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['frederick', 'grinnell']",1
US600281A,1898-03-08,Charles garland,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['charles', 'garland']",1
US600304A,1898-03-08,Edward ii,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['edward', 'ii']",1
US600311A,1898-03-08,Hermann hansen,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['hermann', 'hansen']",1
US600317A,1898-03-08,Thomas w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'w']",1
US600325A,1898-03-08,Paolo tommarciii,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['paolo', 'tommarciii']",1
US600328A,1898-03-08,ama nns,"['PROPN', 'ADV']",['PERSON'],1,1,2,"['ama', 'nns']",1
US600330A,1898-03-08,John d,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'd']",1
US600331A,1898-03-08,William lanz,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'lanz']",1
