patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings,bad_starts,misspelt_words,misspelt
US829583A,1904-12-19,Envelop machine,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,4,['envelop-machine'],0,0,set(),0
US836265A,1906-11-20,Emil wilhelm mayer,"['PROPN', 'NOUN', 'NOUN']",[],1,0,3,"['emil', 'wilhelm', 'mayer']",0,0,set(),0
US845269A,1906-11-17,Conveyer apron,"['PROPN', 'PUNCT', 'PROPN']",[],1,0,4,['conveyer-apron'],0,0,set(),0
US853442A,1906-12-29,Interchangeable mold bo,"['ADJ', 'NOUN', 'PUNCT', 'PROPN']",[],1,0,5,"['interchangeable', 'mold-bo']",0,0,set(),0
US867940A,1907-10-15,Samuel ernest bell,"['PROPN', 'ADJ', 'NOUN']",['PERSON'],1,1,3,"['samuel', 'ernest', 'bell']",0,0,set(),0
US873297A,1900-08-15,Process of producing hollow sheet metal articles,"['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN']",[],1,0,9,"['process', 'of', 'producing', 'hollow', 'sheet-metal', 'articles']",0,0,set(),0
US878785A,1908-02-11,Method of distillation,"['PROPN', 'ADP', 'NOUN']",[],1,0,3,"['method', 'of', 'distillation']",0,0,set(),0
US879888A,1907-02-23,Process of producing paper or paper board and the like,"['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'DET', 'INTJ']",[],1,0,12,"['process', 'of', 'producing', 'paper', 'or', 'paper-board', 'and', 'the', 'like']",0,0,set(),0
US880279A,1907-10-04,Bed controlled web feeding mechanism,"['PROPN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN']",[],1,0,8,"['bed-controlled', 'web-feeding', 'mechanism']",0,0,set(),0
US882412A,1908-03-17,William james parker,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3,"['william', 'james', 'parker']",0,0,set(),0
US887693A,1907-09-26,Machine for cutting baled hay,"['NOUN', 'ADP', 'VERB', 'VERB', 'PROPN']",[],1,0,6,"['machine', 'for', 'cutting', 'baled', 'hay']",0,0,set(),0
US891619A,1907-08-10,System of electric traction,"['NOUN', 'ADP', 'ADJ', 'PROPN']",[],1,0,5,"['system', 'of', 'electric', 'traction']",0,0,set(),0
US802259A,1905-10-17,Changeable gearing,"['ADJ', 'NOUN']",[],0,0,2,"['changeable', 'gearing']",0,0,set(),0
US803308A,1904-09-22,Tree holder,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,4,['tree-holder'],0,0,set(),0
US807625A,1905-12-19,Machine for making decorative rope,"['NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],0,0,5,"['machine', 'for', 'making', 'decorative', 'rope']",0,0,set(),0
US808233A,1905-12-26,Measuring device for corsets,"['VERB', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,"['measuring', 'device', 'for', 'corsets']",0,0,set(),0
US811947A,1904-04-23,Well drilling apparatus,"['ADV', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,"['well-drilling', 'apparatus']",0,0,set(),0
US812001A,1905-03-25,Fire extinguishing device,"['NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,5,"['fire-extinguishing', 'device']",0,0,set(),0
US812867A,1906-02-20,o connor,"['DET', 'NOUN']",[],0,0,2,"['o', 'connor']",0,0,set(),0
US814458A,1906-03-06,Christian kramer,"['ADJ', 'NOUN']",['NORP'],0,0,2,"['christian', 'kramer']",0,0,set(),0
US814460A,1906-03-06,Coffee boiler,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['coffee-boiler'],0,0,set(),0
US814461A,1906-03-06,Electric door releasing device,"['ADJ', 'NOUN', 'VERB', 'NOUN']",[],0,0,4,"['electric', 'door', 'releasing', 'device']",0,0,set(),0
US814462A,1906-03-06,Twine holder,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['twine-holder'],0,0,set(),0
US814466A,1906-03-06,Nozzle for elastic fluid turbines,"['NOUN', 'ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,6,"['nozzle', 'for', 'elastic-fluid', 'turbines']",0,0,set(),0
US814468A,1906-03-06,Window and screen attachment,"['NOUN', 'CCONJ', 'NOUN', 'NOUN']",[],0,0,4,"['window', 'and', 'screen', 'attachment']",0,0,set(),0
US814470A,1906-03-06,Car bolster,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['car-bolster'],0,0,set(),0
US814471A,1906-03-06,Manufacture of sheet or plate glass,"['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN']",[],0,0,6,"['manufacture', 'of', 'sheet', 'or', 'plate', 'glass']",0,0,set(),0
US814472A,1906-03-06,Fire escape,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['fire-escape'],0,0,set(),0
US814473A,1906-03-06,Table screen,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['table-screen'],0,0,set(),0
US814476A,1906-03-06,Molding machine,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['molding-machine'],0,0,set(),0
US814478A,1906-03-06,Georg bitter,"['NOUN', 'ADJ']",[],0,0,2,"['georg', 'bitter']",0,0,set(),0
US814481A,1906-03-06,Trap for sinks,"['NOUN', 'ADP', 'NOUN']",[],0,0,3,"['trap', 'for', 'sinks']",0,0,set(),0
US814483A,1906-03-06,Hedge trimming machine,"['NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,4,"['hedge-trimming', 'machine']",0,0,set(),0
US814485A,1906-03-06,vicars,['NOUN'],[],0,0,2,['vicars'],0,0,set(),0
US814488A,1906-03-06,Computing device,"['NOUN', 'NOUN']",[],0,0,2,"['computing', 'device']",0,0,set(),0
US814710A,1906-03-13,Coal unloading,"['NOUN', 'NOUN']",[],0,0,2,"['coal', 'unloading']",0,0,set(),0
US815117A,1904-04-05,Self registering electrically operated sectional target,"['NOUN', 'PUNCT', 'VERB', 'ADV', 'PUNCT', 'VERB', 'ADJ', 'NOUN']",[],0,0,9,"['self-registering', 'electrically-operated', 'sectional', 'target']",0,0,set(),0
US816068A,1906-03-27,Leaf turner,"['NOUN', 'PUNCT', 'NOUN']",[],0,0,3,['leaf-turner'],0,0,set(),0
US817865A,1906-04-17,Device for closing the caps or covers on friction top cans,"['NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'NOUN']",[],0,0,12,"['device', 'for', 'closing', 'the', 'caps', 'or', 'covers', 'on', 'friction-top', 'cans']",0,0,set(),0
US818195A,1906-04-17,Device for dressing saws,"['NOUN', 'ADP', 'VERB', 'NOUN']",[],0,0,4,"['device', 'for', 'dressing', 'saws']",0,0,set(),0
US818849A,1906-04-24,Wire chain line,"['NOUN', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,4,"['wire-chain', 'line']",0,0,set(),0
US818898A,1906-04-24,Variable speed mechanism,"['ADJ', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,4,"['variable-speed', 'mechanism']",0,0,set(),0
US819083A,1904-10-31,Electric bell,"['ADJ', 'NOUN']",[],0,0,3,"['electric', 'bell']",0,0,set(),0
US820062A,1905-02-25,Dispensing device for receptacles,"['ADJ', 'NOUN', 'ADP', 'NOUN']",[],0,0,5,"['dispensing', 'device', 'for', 'receptacles']",0,0,set(),0
US820148A,1905-10-03,Leather cutting machine,"['NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,5,"['leather-cutting', 'machine']",0,0,set(),0
US820650A,1906-05-15,Feed control valve device for fluid pressure brakes,"['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,10,"['feed-control', 'valve', 'device', 'for', 'fluid-pressure', 'brakes']",0,0,set(),0
US822169A,1904-11-18,Thread cutting device,"['NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,5,"['thread-cutting', 'device']",0,0,set(),0
US825091A,1904-12-10,Electric switch,"['ADJ', 'NOUN']",[],0,0,3,"['electric', 'switch']",0,0,set(),0
