patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US907265A,1908-12-22,Street gar indicator,"['NOUN', 'PUNCT', 'PROPN', 'NOUN']",[],1,0,4,0,0,set(),0
US909618A,1908-06-15,Means for protecting the operatives of railway rolling stock against injury,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']",[],1,0,13,0,0,set(),0
US912783A,1904-12-19,Apparatus for separating ores by flotation,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN']",[],1,0,7,0,0,set(),0
US928324A,1905-12-12,Apparatus for generating hot compressed gas,"['PROPN', 'ADP', 'VERB', 'ADJ', 'VERB', 'NOUN']",[],1,0,7,0,0,set(),0
US936125A,1909-10-05,Wagon tongue,"['PROPN', 'PUNCT', 'NOUN']",['PERSON'],1,1,3,0,0,set(),0
US945419A,1910-01-04,Envelop sealing machine,"['PROPN', 'PUNCT', 'VERB', 'NOUN']",[],1,0,4,0,0,set(),0
US949305A,1905-10-27,Dynamo electric machine,"['PROPN', 'PUNCT', 'ADJ', 'NOUN']",[],1,0,5,0,0,set(),0
US950467A,1907-06-27,Means for effecting the control of an alternating current electric motor,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'PUNCT', 'ADJ', 'ADJ', 'NOUN']",[],1,0,13,0,0,set(),0
US951165A,1909-07-15,Brake lever strut,"['PROPN', 'PUNCT', 'PROPN', 'NOUN']",[],1,0,5,0,0,set(),0
US961390A,1910-06-14,Means for locking the steering mechanisms of motor vehicles,"['PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,10,0,0,set(),0
US979603A,1909-11-01,Dynamo electric machinery,"['PROPN', 'PUNCT', 'ADJ', 'NOUN']",[],1,0,5,0,0,set(),0
US980108A,1907-04-20,Apparatus for evaporating solutions,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,5,0,0,set(),0
US984961A,1910-07-20,Method of producing and operating grinding wheels,"['PROPN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'PUNCT', 'NOUN']",[],1,0,9,0,0,set(),0
US990626A,1909-03-19,Clothes receptacle,"['NOUN', 'PUNCT', 'PROPN']",[],1,0,4,0,0,set(),0
US902055A,1908-10-27,Railway brake beam,"['NOUN', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,0,set(),0
