patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US901534A,1908-10-20,Charles,['PROPN'],[],1,0,1
US902293A,1908-10-27,hattemeb,['PROPN'],[],1,0,1
US907263A,1908-12-22,Ignaz meissl,"['PROPN', 'VERB']",['GPE'],1,0,2
US907266A,1908-12-22,James a,"['PROPN', 'PRON']",[],1,0,2
US907269A,1908-12-22,Mvwwa,['PROPN'],[],1,0,1
US907280A,1908-12-22,Francois pin,"['PROPN', 'NOUN']",['GPE'],1,0,2
US907286A,1908-12-22,Knecht,['PROPN'],['ORG'],1,0,1
US914021A,1909-03-02,Stjspendebs,['PROPN'],[],1,0,1
US920930A,1909-05-11,Hoibtikg,['PROPN'],[],1,0,1
US922030A,1909-05-18,Jjuajuau,['PROPN'],[],1,0,1
US925923A,1909-06-22,Cleveland,['PROPN'],['GPE'],1,0,1
US925924A,1909-06-22,Emil lampbecht,"['PROPN', 'NOUN']",[],1,0,2
US925945A,1909-06-22,Strippeb harvester,"['PROPN', 'VERB']",[],1,0,2
US925951A,1909-06-22,Hekmaxx ruthardt,"['PROPN', 'NOUN']",[],1,0,2
US930931A,1909-08-10,Pen,['PROPN'],[],1,0,2
US951753A,1908-08-04,Mold,['PROPN'],[],1,0,2
US951969A,1910-03-15,Charles butler,"['PROPN', 'NOUN']",[],1,0,2
US970730A,1910-09-20,Elevatox,['PROPN'],[],1,0,1
US977029A,1910-11-29,mckee,['PROPN'],['ORG'],1,0,1
US983766A,1911-02-07,awdebson,['PROPN'],[],1,0,1
US984243A,1911-02-14,Sylvania,['PROPN'],['ORG'],1,0,1
