patent_number,date,title
US500000A,1893-06-20,Combined flush-tank and manhole 
US500001A,1893-06-20,Ballot-registering device 
US500002A,1893-06-20,Abraham jacobson and james jacobson 
US500003A,1893-06-20,Basket grate 
US500004A,1893-06-20,Fence-building machine 
US500005A,1893-06-20,Rotary fan 
US500006A,1893-06-20,Stand 
US500007A,1893-06-20,Elastic-gore marker 
US500008A,1893-06-20,Car-truck 
US500009A,1893-06-20,Means for operating organ-bellows 
US500010A,1893-06-20,Pedal-action for organs or pianos 
US500011A,1893-06-20,Refrigerator for beer-barrels 
US500012A,1893-06-20,Refrigerator attachment for beer-barrels 
US500013A,1893-06-20,Kowski 
US500014A,1893-06-20,Nathan lazarus 
US500015A,1893-06-20,Coin-controlled machine 
US500016A,1893-06-20,Sliding door 
US500017A,1893-06-20,Mode of excavating shafts 
US500018A,1893-06-20,Fire-escape 
US500019A,1893-06-20,Governor for engines 
US500020A,1893-06-20,Cigar-bunching machine 
US500021A,1893-06-20,Half to selman u 
US500022A,1893-06-20,Electric road-vehicle 
US500023A,1893-06-20,holler 
US500024A,1893-06-20,Roofing compound 
US500025A,1893-06-20,Automatic wrench 
US500026A,1893-06-20,Electric-lighting system 
US500027A,1893-06-20,Electric bell 
US500028A,1893-06-20,Non-conductor compound car-roof 
US500029A,1893-06-20,Hose-strap fastener 
US500030A,1893-06-20,Fire-escape 
US500031A,1893-06-20,William nisbett 
US500032A,1893-06-20,osborn 
US500033A,1893-06-20,Fence 
US500034A,1893-06-20,Stone-sawing machine 
US500035A,1893-06-20,Carl august pfenning 
US500036A,1893-06-20,Door-holding device 
US500037A,1893-06-20,Workman s time-recorder 
US500038A,1893-06-20,End-gate for wagons 
US500039A,1893-06-20,John e 
US500040A,1893-06-20,Swell pedal-action for pipe-organs 
US500041A,1893-06-20,Electric signal 
US500042A,1893-06-20,Table for mitering and joining moldings 
US500043A,1893-06-20,Screw-cutting machine 
US500044A,1893-06-20,Device for overcoming dead-centers 
US500045A,1893-06-20,Automatic electric weighing-scale 
US500046A,1893-06-20,Ruler for slates 
US500047A,1893-06-20,Method of and machinery for operating the pressing-plungers of brick-machines 
US500048A,1893-06-20,Shoe-fastener 
US500049A,1893-06-20,Boxing-glove 
US500050A,1893-06-20,Newton jasper bishop 
US500051A,1893-06-20,Combined cane and umbrella 
US500052A,1893-06-20,bower 
US500053A,1893-06-20,Incandescent electric lamp 
US500054A,1893-06-20,ohambees- 
US500055A,1893-06-20,Corn-harvester 
US500056A,1893-06-20,Frank b 
US500057A,1893-06-20,The mob 
US500058A,1893-06-20,Machine for making wire rings 
US500059A,1893-06-20,Beater for railway-car seats 
US500060A,1893-06-20,Channeling-machine 
US500061A,1893-06-20,Smith 
US500062A,1893-06-20,Flier for spinning 
US500063A,1893-06-20,Device for turning the backs of car-seats 
US500064A,1893-06-20,Harrow and roller 
US500065A,1893-06-20,henry 
US500066A,1893-06-20,Elegtkio locomotive 
US500067A,1893-06-20,John c 
US500068A,1893-06-20,henry 
US500069A,1893-06-20,Power-transmitting mechanism 
US500070A,1893-06-20,Electric-railway trolley 
US500071A,1893-06-20,Method of and means for cash-registering and account-checking 
US500072A,1893-06-20,August lindquist 
US500073A,1893-06-20,Charles john 
US500074A,1893-06-20,Richard nash 
US500075A,1893-06-20,Incandescent electric lamp 
US500076A,1893-06-20,Incandescent electric lamp 
US500077A,1893-06-20,Incandescent electric lamp 
US500078A,1893-06-20,Incandescent electric lamp 
US500079A,1893-06-20,Incandescent electric lamp 
US500080A,1893-06-20,Gusts rateau 
US500081A,1893-06-20,Carl schaetjffelen 
US500082A,1893-06-20,Station-indicator 
US500083A,1893-06-20,Cigar-bunching machine 
US500084A,1893-06-20,James taylor 
US500085A,1893-06-20,Horse-shield 
US500086A,1893-06-20,Spring-hinge 
US500087A,1893-06-20,Melbourne walker 
US500088A,1893-06-20,Tieths to william b 
US500089A,1893-06-20,Bean-harvester 
US500090A,1893-06-20,Joseph willmann 
US500091A,1893-06-20,Bed-chair 
US500092A,1893-06-20,George w 
US500093A,1893-06-20,Machines 
US500094A,1893-06-20,Milk-pail 
US500095A,1893-06-20,Nut-lock for vehicle-axles 
US500096A,1893-06-20,Half to andrew l 
US500097A,1893-06-20,Lease-forming mechanism for warping-mills 
US500098A,1893-06-20,Car-coupling 
US500099A,1893-06-20,george 
US500100A,1893-06-20,Michael a 
US500101A,1893-06-20,Benjamin f 
US500102A,1893-06-20,Michael moran 
US500103A,1893-06-20,Dental chair 
US500104A,1893-06-20,Electric-railway system 
US500105A,1893-06-20,schollhorn 
US500106A,1893-06-20,Holder for cu rling-irons 
US500107A,1893-06-20,Refrigerating apparatus 
US500108A,1893-06-20,Wire-rolling mill 
US500109A,1893-06-27,Soil-pulverizer 
US500110A,1893-06-27,Pmoto 
US500111A,1893-06-27,Billet-loop 
US500112A,1893-06-27,Heddle-actuating mechanism for looms 
US500113A,1893-06-27,harrison 
US500114A,1893-06-27,Mining-car 
US500115A,1893-06-27,crowell 
US500116A,1893-06-27,Machine 
US500117A,1893-06-27,Machine 
US500118A,1893-06-27,Steam-cooker 
US500119A,1893-06-27,Ferdinand dieckmann 
US500120A,1893-06-27,Mechanism for drawing heads 
US500121A,1893-06-27,Knitting machine 
US500122A,1893-06-27,Transfer 
US500123A,1893-06-27,Thread-controlling mechanism for knitting-machines 
US500124A,1893-06-27,Charles grotz 
US500125A,1893-06-27,Max guttner 
US500126A,1893-06-27,Helm hartmann 
US500127A,1893-06-27,Lumber-carrier 
US500128A,1893-06-27,Crimping-machine 
US500129A,1893-06-27,Car-truck 
US500130A,1893-06-27,Gibbard richard hughes 
US500131A,1893-06-27,Harness-tug 
US500132A,1893-06-27,Electric motor and dynamo-electric machine 
US500133A,1893-06-27,Potato-planter 
US500134A,1893-06-27,Moccasin 
US500135A,1893-06-27,Susan ii 
US500136A,1893-06-27,John n 
US500137A,1893-06-27,Composition of matter for the extraction of precious metal from ore 
US500138A,1893-06-27,Fence-post driver 
US500139A,1893-06-27,Dental engine 
US500140A,1893-06-27,Gustav kruger 
US500141A,1893-06-27,Lasting-machine 
US500142A,1893-06-27,Joseph g 
US500143A,1893-06-27,John a 
US500144A,1893-06-27,Brush-holder 
US500145A,1893-06-27,Pressure-regulator 
US500146A,1893-06-27,Track for door-hangers 
US500147A,1893-06-27,The iwrbis pttcrs co 
US500148A,1893-06-27,And richard w 
US500149A,1893-06-27,moran 
US500150A,1893-06-27,James mcharrie 
US500151A,1893-06-27,Automatic rib-knitting machine 
US500152A,1893-06-27,Device for preventing animals from jumping 
US500153A,1893-06-27,Bit-stock 
US500154A,1893-06-27,Vehicle-spring 
US500155A,1893-06-27,rowland  
US500156A,1893-06-27,sager 
US500157A,1893-06-27,James h 
US500158A,1893-06-27,sager 
US500159A,1893-06-27,search 
US500160A,1893-06-27,And william d 
US500161A,1893-06-27,Gate-operating mechanism 
US500162A,1893-06-27,Spring-cotter 
US500163A,1893-06-27,Machine for winding thread on plates 
US500164A,1893-06-27,spaulding 
US500165A,1893-06-27,Spencer spooner 
US500166A,1893-06-27,Steam-generator 
US500167A,1893-06-27,Resawing-machine 
US500168A,1893-06-27,Hay-sling 
US500169A,1893-06-27,Cellar-window 
US500170A,1893-06-27,Thomas s 
US500171A,1893-06-27,Thill-coupling 
US500172A,1893-06-27,Thirds to f 
US500173A,1893-06-27,Ash-chute 
US500174A,1893-06-27,Chusetts 
US500175A,1893-06-27,whitejuey  
US500176A,1893-06-27,Headlight 
US500177A,1893-06-27,Bicycle-frame 
US500178A,1893-06-27,Lightning-arrester 
US500179A,1893-06-27,James wright 
US500180A,1893-06-27,Photographic-printing apparatus 
US500181A,1893-06-27,Ensilage-machine 
US500182A,1893-06-27,Bottle-stopper 
US500183A,1893-06-27,Sylvester p 
US500184A,1893-06-27,Bolt-cutter 
US500185A,1893-06-27,Cabinet for type-writers 
US500186A,1893-06-27,Horse-detacher 
US500187A,1893-06-27,Abraham bruegger 
US500188A,1893-06-27,bruegger 
US500189A,1893-06-27,brueggee 
US500190A,1893-06-27,bruegger 
US500191A,1893-06-27,Paper-polishing machine 
US500192A,1893-06-27,Island 
US500193A,1893-06-27,Cold-sawing machine 
US500194A,1893-06-27,Metal-sawing machine 
US500195A,1893-06-27,Henry w 
US500196A,1893-06-27,Condenser 
US500197A,1893-06-27,Combined bee swarmer 
US500198A,1893-06-27,Hand-planter 
US500199A,1893-06-27,Push-button 
US500200A,1893-06-27,Push-button cut-out 
US500201A,1893-06-27,Cut-out for electric-lighting systems 
US500202A,1893-06-27,John goodman 
US500203A,1893-06-27,Jack-screw 
US500204A,1893-06-27,Car-seat 
US500205A,1893-06-27,Pneumatic tire 
US500206A,1893-06-27,Edwin stanley hoare 
US500207A,1893-06-27,Henry p 
US500208A,1893-06-27,Floor 
US500209A,1893-06-27,Interfering-strap 
US500210A,1893-06-27,Heinrich prym 
US500211A,1893-06-27,Door opener 
US500212A,1893-06-27,Delivery-wagon 
US500213A,1893-06-27,Metal-drill 
US500214A,1893-06-27,Process of seating valves 
US500215A,1893-06-27,Valve-seating tool 
US500216A,1893-06-27,Machine for seating valves 
US500217A,1893-06-27,Turret-clamping mechanism 
US500218A,1893-06-27,Carriage-pole 
US500219A,1893-06-27,Brushing-machine 
US500220A,1893-06-27,search 
US500221A,1893-06-27,Scrubbing and mopping machine 
US500222A,1893-06-27,Fred w 
US500223A,1893-06-27,Drive-chain link 
US500224A,1893-06-27,Car-coupling 
US500225A,1893-06-27,Setts 
US500226A,1893-06-27,cuttriss 
US500227A,1893-06-27,Francis p 
US500228A,1893-06-27,Heating apparatus 
US500229A,1893-06-27,Ernst egger 
US500230A,1893-06-27,Pipe-holder 
US500231A,1893-06-27,gregory 
US500232A,1893-06-27,Curling-iron holder for gas-fixtures 
US500233A,1893-06-27,Evaporating-pan 
US500234A,1893-06-27,Lavatory apparatus 
US500235A,1893-06-27,Needle-threader for sewing-machines 
US500236A,1893-06-27,kennelly 
US500237A,1893-06-27,Charles joseph leroux and jules henri fischbach 
US500238A,1893-06-27,Cotton-press 
US500239A,1893-06-27,Plumber s portable furnace 
