patent_number,title
US1A,"Locomotive steam-engine for rail and other roads 
     "
US2A,mode of manufacturing wool or other fibrous materials 
US3A,Thomas blanchard 
US4A,Stock 
US5A,Thomas blancharjq 
US6A,Thomas blanghard 
US7A,Thomas blanchard 
US8A,"Machine for cutting scores around ships' tackle blocks and dead eyes 
     "
US9A,Thomas blanchard 
US10A,Gtttlslto andi 
US11A,
US12A,Improvement in trusses for the cure of prolapsus uteri 
US13A,Mode of laying veneers on ogee and other moldings 
US14A,petess 
US15A,Cotton-planter 
US16A,Edwin m 
US17A,Thomas blanchaiid 
US18A,Thomas blanchard 
US19A,Thomas blanchard 
US20A,Saddle-spbitirg 
US21A,Granite-machine for dressing or hammering 
US22A,Spbcificatioh 
US23A,Ftjkitace for warming buildings 
US24A,Mortisistg-maghiite 
US25A,Machine fok sawing shingles 
US26A,Machine for manufacturing silver spoons 
US27A,Composition op paints 
US28A,Drawing 
US29A,Isaiah jennings 
US30A,Gbadtratiitg take-up motion foe 
US31A,Isaiah jennings 
US32A,Pencil and pent 
US33A,Cook-stove 
US34A,Improvement in vertical cylindrical steam-boilers 
US35A,Sliding craitk fob sawmills 
US36A,Brake for wagons 
US37A,Crane-stove 
US38A,Horizontal boot-clamp 
US39A,Purifying- wateil for use in steamt-boilees 
US40A,Double hydrostatic oil-press 
US41A,Frederick j 
US42A,Hanging lamp 
US43A,Ends alvord and nelson alvord 
US44A,Itraviitg 
US45A,Machine fob shelling cokm 
US46A,Shuttee-fastejtee poe stoee-wtktdows 
US47A,Oonead kile 
US48A,Turnout fob 
US49A,Available  
US50A,Jordan l 
US51A,Endless-slide-chain-carriage sawmill 
US52A,Drawing 
US53A,Combined plow 
US54A,Art of managing and supplying fie-e for generating steam in locomotive 
US55A,Drawing 
US56A,Dock-plate 
US57A,Hemp ant 
US58A,
US59A,Drawijtg 
US60A,Ptjllinq ttp hope yaons 
US61A,Machine fob making weavers  harness 
US62A,Cooking-stove 
US63A,Kravxiig 
US64A,John blaokmab 
US65A,Fekettle-knob foe doors 
US66A,Machinery for forming webs of cloth of wool 
US67A,robert mayo and robert mills 
US68A,Manutactttke of friction-matches 
US69A,Machine eor picking or breaking wool and ginned or seedless cotton 
US70A,Apparatus for preserving and exhibiting maps 
US71A,Parlob 
US72A,Scythe 
US73A,Machine eor turning boot-legs 
US74A,James williamson 
US75A,Opening- and closing safety-valves of steam-boilers 
US76A,"Machine for filing saw-teeth 
     "
US77A,James hamilton 
US78A,Amasa sizer andx g george sizer 
US79A,Machine 
US80A,Worth 
US81A,Erawijjg 
US82A,Spiral bit with countersink for setting screws 
US83A,Cooking-stove 
US84A,Edward d 
US85A,Bancroft woodcock 
US86A,Machine for cutting and heading wire for manufacturing wood 
US87A,X f frictionless pump 
US88A,Cultivator or hoe-harrow 
US89A,Side-saddle 
US90A,I   v elasticx 
US91A,Revolving cooking-stove 
